label,conductivity,ECW,density,melting_point,viscosity,formula,T_conductivity,T_density,T_viscosity,cation,anion,conductivity_norm,viscosity_norm,density_norm,cation_type,anion_type
1-Decyl-3-methylimidazolium bis(trifluoromethylsulfonyl)imide,0.76,4.6,1.27,<RT,113.0,C16H27F6N3O4S2,24.0,30.0,25.0,1-Decyl-3-methylimidazolium,bis(trifluoromethylsulfonyl)imide,0.7916666666666667,112.99999999999999,1.0583333333333333,imidazolium,imid
1-Ethyl-3-methylimidazolium tetrafluoroborate,14.1,3.6,1.28,15,33.8,C6H11BF4N2,25.0,25.0,25.0,1-Ethyl-3-methylimidazolium,tetrafluoroborate,14.099999999999998,33.8,1.28,imidazolium,tetrafluoroborate
1-Ethyl-3-methylpyridinium bis(trifluoromethylsulfonyl)imide,7.47,,1.48,<RT,36.6,C10H12F6N2O4S2,30.0,26.0,25.0,1-Ethyl-3-methylpyridinium,bis(trifluoromethylsulfonyl)imide,6.225,36.6,1.4230769230769231,pyridinium,imid
1-Ethylpyridinium bromide,,,,120,,C7H10BrN,25.0,25.0,25.0,1-Ethylpyridinium,bromide,,,,pyridinium,bromide
1-Hexyl-3-methylimidazolium triflate,1.61,,1.24,<RT,135.0,C11H19F3N2O3S,24.0,29.0,25.0,1-Hexyl-3-methylimidazolium,triflate,1.6770833333333335,135.0,1.0689655172413792,imidazolium,triflate
"1,2-Dimethyl-3-propylimidazolium bis(trifluoromethylsulfonyl)imide",1.95,4.6,1.45,<RT,91.9,C10H15F6N3O4S2,25.0,25.0,25.0,"1,2-Dimethyl-3-propylimidazolium",bis(trifluoromethylsulfonyl)imide,1.95,91.9,1.45,imidazolium,imid
"1,2-Dimethyl-3-propylimidazolium bromide",,,,120,,C8H15BrN2,25.0,25.0,25.0,"1,2-Dimethyl-3-propylimidazolium",bromide,,,,imidazolium,bromide
"1,2-Dimethylimidazolium  chloride",,,,>RT,,C5H9ClN2,25.0,25.0,25.0,"1,2-Dimethylimidazolium",chloride,,,,imidazolium,chloride
"1,2-Dimethylimidazolium bis(trifluoromethylsulfonyl)imide",1.08,,,<RT,106.0,C7H9F6N3O4S2,25.0,25.0,25.0,"1,2-Dimethylimidazolium",bis(trifluoromethylsulfonyl)imide,1.08,106.0,,imidazolium,imid
"1,3-Didecyl-2-methylimidazolium chloride",,,,160??C,,C24H47ClN2,25.0,25.0,25.0,"1,3-Didecyl-2-methylimidazolium",chloride,,,,imidazolium,chloride
"1,3-Diethylimidazolium  hexafluorophosphate",,,,>RT,,C7H13F6N2P,25.0,25.0,25.0,"1,3-Diethylimidazolium",hexafluorophosphate,,,,imidazolium,phosph
"1,3-Diethylimidazolium bis(trifluoromethylsulfonyl)imide",8.24,4.8,1.48,14,27.9,C9H13F6N3O4S2,30.0,22.0,25.0,"1,3-Diethylimidazolium",bis(trifluoromethylsulfonyl)imide,6.866666666666667,27.9,1.6818181818181819,imidazolium,imid
"1,3-Diethylimidazolium bromide",,,,>RT,,C7H13BrN2,25.0,25.0,25.0,"1,3-Diethylimidazolium",bromide,,,,imidazolium,bromide
"1,3-Diethylimidazolium diethyl phosphate",0.97,,1.12,<RT,280.0,C11H23N2O4P,30.0,24.0,25.0,"1,3-Diethylimidazolium",diethyl phosphate,0.8083333333333333,280.0,1.1666666666666667,imidazolium,phosph
"1,3-Diethylimidazolium ethyl sulfate",,,1.21,<RT,94.2,C9H18N2O4S,25.0,22.0,25.0,"1,3-Diethylimidazolium",ethyl sulfate,,94.2,1.375,imidazolium,sulfate
"1,3-Dimethylimidazolium bis(trifluoromethylsulfonyl)imide",9.36,3.2,1.57,<RT,37.1,C7H9F6N3O4S2,30.0,22.0,25.0,"1,3-Dimethylimidazolium",bis(trifluoromethylsulfonyl)imide,7.8,37.1,1.7840909090909092,imidazolium,imid
"1,3-Dimethylimidazolium dimethyl phosphate",0.84,2.5,1.15,<RT	,437.0,C7H15N2O4P,30.0,24.0,25.0,"1,3-Dimethylimidazolium",dimethyl phosphate,0.7000000000000001,437.0,1.1979166666666665,imidazolium,phosph
"1,3-Dimethylimidazolium methyl sulfate",4.02,,1.32,<RT,70.0,C6H12N2O4S,30.0,26.0,25.0,"1,3-Dimethylimidazolium",methyl sulfate,3.3499999999999996,70.0,1.2692307692307694,imidazolium,sulfate
1-(2-Hydroxyethyl)-3-methylimidazolium bis(trifluoromethylsulfonyl)imide,1.68,,,<RT,81.6,C8H11F6N3O5S2,25.0,25.0,25.0,1-(2-Hydroxyethyl)-3-methylimidazolium,bis(trifluoromethylsulfonyl)imide,1.68,81.6,,imidazolium,imid
1-(2-Hydroxyethyl)-3-methylimidazolium chloride,,,,83,,C6H11ClN2O,25.0,25.0,25.0,1-(2-Hydroxyethyl)-3-methylimidazolium,chloride,,,,imidazolium,chloride
1-(2-Hydroxyethyl)-3-methylimidazolium tetrafluoroborate,3.42,,1.34,<RT,137.0,C6H11BF4N2O,20.0,22.0,20.0,1-(2-Hydroxyethyl)-3-methylimidazolium,tetrafluoroborate,4.2749999999999995,171.25,1.522727272727273,imidazolium,tetrafluoroborate
1-(2-Methoxyethyl)-3-methylimidazolium bis(trifluoromethylsulfonyl)imide,4.81,,,<RT,46.9,C9H13F6N3O5S2,30.0,25.0,25.0,1-(2-Methoxyethyl)-3-methylimidazolium,bis(trifluoromethylsulfonyl)imide,4.008333333333333,46.9,,imidazolium,imid
1-Allyl-3-methylimidazolium chloride,,,,47,,C7H11N2Cl,25.0,25.0,25.0,1-Allyl-3-methylimidazolium,chloride,,,,imidazolium,chloride
1-Allyl-3-methylimidazolium dicyanamide,17.0,,1.11,<RT,17.6,C9H11N5,30.0,24.0,25.0,1-Allyl-3-methylimidazolium,dicyanamide,14.166666666666666,17.6,1.1562500000000002,imidazolium,dicyanamide
1-Benzyl-3-methylimidazolium bis(trifluoromethylsulfonyl)imide,1.77,4.5,1.49,<RT,153.0,C13H13F6N3O4S2,30.0,25.0,25.0,1-Benzyl-3-methylimidazolium,bis(trifluoromethylsulfonyl)imide,1.475,153.0,1.49,imidazolium,imid
1-Benzyl-3-methylimidazolium chloride,,,,75,,C11H13ClN2,25.0,25.0,25.0,1-Benzyl-3-methylimidazolium,chloride,,,,imidazolium,chloride
1-Benzyl-3-methylimidazolium dicyanamide,2.95,,1.16,<RT,78.5,C13H13N5,30.0,24.0,25.0,1-Benzyl-3-methylimidazolium,dicyanamide,2.4583333333333335,78.5,1.2083333333333333,imidazolium,dicyanamide
1-Benzyl-3-methylimidazolium hexafluorophosphate,,,,135,,??C11H13F6N2P,25.0,25.0,25.0,1-Benzyl-3-methylimidazolium,hexafluorophosphate,,,,imidazolium,phosph
1-Benzyl-3-methylimidazolium tetrafluoroborate,,,,78,,C11H13BF4N2,25.0,25.0,25.0,1-Benzyl-3-methylimidazolium,tetrafluoroborate,,,,imidazolium,tetrafluoroborate
1-Butyl-1-methylpiperidinium bis(trifluoromethylsulfonyl)imide,0.84,3.7,1.38,<RT,173.0,C12H22F6N2O4S2,25.0,23.0,25.0,1-Butyl-1-methylpiperidinium,bis(trifluoromethylsulfonyl)imide,0.84,173.0,1.5,piperidinium,imid
1-Butyl-1-methylpiperidinium bromide,,,,231,,C10H22BrN,25.0,25.0,25.0,1-Butyl-1-methylpiperidinium,bromide,,,,piperidinium,bromide
1-Butyl-1-methylpiperidinium chloride,,,,>230,,C10H22ClN,25.0,25.0,25.0,1-Butyl-1-methylpiperidinium,chloride,,,,piperidinium,chloride
1-Butyl-1-methylpiperidinium hexafluorophosphate,,,,81,,C10H22F6NP,25.0,25.0,25.0,1-Butyl-1-methylpiperidinium,hexafluorophosphate,,,,piperidinium,phosph
1-Butyl-1-methylpiperidinium tetrafluoroborate,,,,149,,C10H22BF4N,25.0,25.0,25.0,1-Butyl-1-methylpiperidinium,tetrafluoroborate,,,,piperidinium,tetrafluoroborate
1-Butyl-1-methylpiperidinium triflate,,,,38,,C11H22F3NO3S,25.0,25.0,25.0,1-Butyl-1-methylpiperidinium,triflate,,,,piperidinium,triflate
"1-Butyl-1-methylpyrrolidinium 1,1,2,2-tetrafluoroethanesulfonate",,,,40,,C11H21F4NO3S,25.0,25.0,25.0,1-Butyl-1-methylpyrrolidinium,"1,1,2,2-tetrafluoroethanesulfonate",,,,pyrrolidinium,sulfonate
1-Butyl-1-methylpyrrolidinium bis(trifluoromethylsulfonyl)imide,2.12,5.5,1.4,-18,94.4,C11H20F6N2O4S2,25.0,25.0,25.0,1-Butyl-1-methylpyrrolidinium,bis(trifluoromethylsulfonyl)imide,2.12,94.4,1.4,pyrrolidinium,imid
1-Butyl-1-methylpyrrolidinium bromide,,,,216,,C9H20BrN,25.0,25.0,25.0,1-Butyl-1-methylpyrrolidinium,bromide,,,,pyrrolidinium,bromide
1-Butyl-1-methylpyrrolidinium chloride,,,,198,,C9 H20 ClN,25.0,25.0,25.0,1-Butyl-1-methylpyrrolidinium,chloride,,,,pyrrolidinium,chloride
1-Butyl-1-methylpyrrolidinium dicyanamide,10.8,3.5,1.02,<RT,35.2,C11H20N4,30.0,20.0,25.0,1-Butyl-1-methylpyrrolidinium,dicyanamide,9.000000000000002,35.2,1.2750000000000001,pyrrolidinium,dicyanamide
1-Butyl-1-methylpyrrolidinium hexafluorophosphate,,,,87,,C9H20F6NP,25.0,25.0,25.0,1-Butyl-1-methylpyrrolidinium,hexafluorophosphate,,,,pyrrolidinium,phosph
1-Butyl-1-methylpyrrolidinium tetrafluoroborate,,,,155,,C9H20BF4N,25.0,25.0,25.0,1-Butyl-1-methylpyrrolidinium,tetrafluoroborate,,,,pyrrolidinium,tetrafluoroborate
1-Butyl-1-methylpyrrolidinium tricyanomethanide,7.74,4.2,1.006,<RT,26.9,C13H20N4,30.0,22.0,25.0,1-Butyl-1-methylpyrrolidinium,tricyanomethanide,6.45,26.899999999999995,1.143181818181818,pyrrolidinium,tricyanomethanide
1-Butyl-1-methylpyrrolidinium triflate,1.85,4.2,1.26,<RT,148.0,C10H20F3NO3S,24.0,27.0,25.0,1-Butyl-1-methylpyrrolidinium,triflate,1.9270833333333335,148.0,1.1666666666666667,pyrrolidinium,triflate
"1-Butyl-2,3-dimethylimidazolium bis(trifluoromethylsulfonyl)imide",1.96,4.6,1.42,<RT,98.0,C11H17F6 N3O4S2,25.0,25.0,25.0,"1-Butyl-2,3-dimethylimidazolium",bis(trifluoromethylsulfonyl)imide,1.96,98.0,1.42,imidazolium,imid
"1-Butyl-2,3-dimethylimidazolium hexafluorophosphate",0.76,,,43,554.0,C9H17F6N2P,45.0,25.0,45.0,"1-Butyl-2,3-dimethylimidazolium",hexafluorophosphate,0.4222222222222223,307.77777777777777,,imidazolium,phosph
"1-Butyl-2,3-dimethylimidazolium tetrafluoroborate",2.16,,,36,172.0,C9H17BF4N2,45.0,25.0,45.0,"1-Butyl-2,3-dimethylimidazolium",tetrafluoroborate,1.2,95.55555555555556,,imidazolium,tetrafluoroborate
"1-Butyl-2,3-dimethylimidazolium triflate",,,,40,,C10H17F3N2O3S,25.0,25.0,25.0,"1-Butyl-2,3-dimethylimidazolium",triflate,,,,imidazolium,triflate
