anion,anion_sml,Asphericity_anion,Eccentricity_anion,InertialShapeFactor_anion,NPR1_anion,NPR2_anion,PMI1_anion,PMI2_anion,PMI3_anion,RadiusOfGyration_anion,SpherocityIndex_anion,ExactMolWt_anion,FpDensityMorgan1_anion,FpDensityMorgan2_anion,HeavyAtomMolWt_anion,MaxAbsPartialCharge_anion,MaxPartialCharge_anion,MinPartialCharge_anion,NumRadicalElectrons_anion,NumValenceElectrons_anion,volume_anion,cation,cation_sml,Asphericity_cation,Eccentricity_cation,InertialShapeFactor_cation,NPR1_cation,NPR2_cation,PMI1_cation,PMI2_cation,PMI3_cation,RadiusOfGyration_cation,SpherocityIndex_cation,ExactMolWt_cation,FpDensityMorgan1_cation,FpDensityMorgan2_cation,HeavyAtomMolWt_cation,MaxAbsPartialCharge_cation,MaxPartialCharge_cation,MinPartialCharge_cation,NumRadicalElectrons_cation,NumValenceElectrons_cation,volume_cation,pair,pair_sml,Asphericity_pair,Eccentricity_pair,InertialShapeFactor_pair,NPR1_pair,NPR2_pair,PMI1_pair,PMI2_pair,PMI3_pair,RadiusOfGyration_pair,SpherocityIndex_pair,ExactMolWt_pair,FpDensityMorgan1_pair,FpDensityMorgan2_pair,HeavyAtomMolWt_pair,MaxAbsPartialCharge_pair,MaxPartialCharge_pair,MinPartialCharge_pair,NumRadicalElectrons_pair,NumValenceElectrons_pair,volume_pair,name_anion,smiles_form_anion,energy_anion,HOMO_anion,LUMO_anion,dipole_x_anion,dipole_y_anion,dipole_z_anion,dipole_total_anion,name_cation,smiles_form_cation,energy_cation,HOMO_cation,LUMO_cation,dipole_x_cation,dipole_y_cation,dipole_z_cation,dipole_total_cation,V_al_cation,V_al_anion,V_al,V_cl_cation,V_cl_anion,V_cl,ECW_computed,cation_type,anion_type,label,conductivity,ECW,density,melting_point,viscosity,formula,T_conductivity,T_density,T_viscosity,conductivity_norm,viscosity_norm,density_norm,state,SVM_predict_x,RF_predict_x,XGB_predict_x,SVM_predict_y,RF_predict_y,XGB_predict_y,SVM_predict,RF_predict,XGB_predict
bis(trifluoromethylsulfonyl)imide,O=S([N-]S(=O)(C(F)(F)F)=O)(C(F)(F)F)=O,0.3880403108990969,0.9597450644494456,0.0019364858404103,0.2808725890237946,0.9451130799698834,488.0557658865225,1642.2673700458345,1737.6411403576876,2.627442625645582,0.3147988327063437,279.91784237991,0.6666666666666666,0.8666666666666667,280.147,0.4802902001629027,0.4802902001629027,-0.4206749315142703,0,92,157.37600000000003,1-decyl-3-methylimidazolium,CN1C=C[N+](CCCCCCCCCC)=C1,0.5638576909509398,0.9845054033443944,0.0013109790392925,0.175354243705965,0.882508238185646,673.1673136908826,3387.860410185763,3838.899472656352,4.205043714809542,0.1520372437397235,223.21687528409,1.1875,1.9375,196.16799999999995,0.2430288257380962,0.2430288257380962,-0.2395339959546719,0,92,250.29600000000005,1-decyl-3-methylimidazolium bis(trifluoromethylsulfonyl)imide,CN1C=C[N+](CCCCCCCCCC)=C1.O=S([N-]S(=O)(C(F)(F)F)=O)(C(F)(F)F)=O,0.5679996461686575,0.9842945583896784,0.0010646944131415,0.1765339126753505,0.9699186577290472,910.9831382200714,5005.154699432328,5160.386038094494,3.316451416358698,0.22956145485754,503.1347176640007,0.935483870967742,1.4193548387096775,476.315,0.4802902001629027,0.4802902001629027,-0.4206749315142703,0,184,299.3280000000001,bis(trifluoromethylsulfonyl)imide,O=S([N-]S(=O)(C(F)(F)F)=O)(C(F)(F)F)=O,-1821.517869,-0.286547135,0.172652479,-0.095325609,0.364114522,2.142514102,2.175323662,1-decyl-3-methylimidazolium,CN1C=C[N+](CCCCCCCCCC)=C1,-654.744987,-0.506862,-0.061227,-6.515509,-0.416154,-0.301954,6.535764,13.7866464,7.794082072,7.794082072,1.6653744,-4.6961474288,1.6653744,6.128707672,imidazolium,imid,1-Decyl-3-methylimidazolium bis(trifluoromethylsulfonyl)imide,0.76,4.6,1.27,<RT,113.0,C16H27F6N3O4S2,24.0,30.0,25.0,0.7916666666666667,113.0,1.0583333333333331,liquid,,,,,,,,,
triflate,C(F)(F)(F)S(=O)(=O)[O-],0.0980684682424666,0.8097419765728134,0.0049026742783355,0.5867861035981964,0.9744063155534451,198.7499597636444,330.0405630299311,338.70938412634774,1.7057919146605791,0.6669724757922951,148.95257309991,1.25,1.375,149.069,0.7411547731218965,0.485234805463619,-0.7411547731218965,0,50,86.68800000000002,1-decyl-3-methylimidazolium,CN1C=C[N+](CCCCCCCCCC)=C1,0.5638576909509398,0.9845054033443944,0.0013109790392925,0.175354243705965,0.882508238185646,673.1673136908826,3387.860410185763,3838.899472656352,4.205043714809542,0.1520372437397235,223.21687528409,1.1875,1.9375,196.16799999999995,0.2430288257380962,0.2430288257380962,-0.2395339959546719,0,92,250.29600000000005,1-decyl-3-methylimidazolium triflate,CN1C=C[N+](CCCCCCCCCC)=C1.C(F)(F)(F)S(=O)(=O)[O-],0.5797245295083397,0.985348627821128,0.0015410628918854,0.1705522842151936,0.9704629929651122,629.7361373602212,3583.2742988642203,3692.334818369563,3.2576894750730583,0.232452217932285,372.1694483840007,1.2083333333333333,1.75,345.237,0.7411547731218965,0.485234805463619,-0.7411547731218965,0,142,275.17600000000004,triflate,C(F)(F)(F)S(=O)(=O)[O-],-958.4631671,-0.26754993,0.195673969,1.77234156,-0.21203846,-0.036153192,1.785346455,1-decyl-3-methylimidazolium,CN1C=C[N+](CCCCCCCCCC)=C1,-654.744987,-0.506862,-0.061227,-6.515509,-0.416154,-0.301954,6.535764,13.7866464,7.2773580959999995,7.2773580959999995,1.6653744,-5.3223319568,1.6653744,5.611983695999999,imidazolium,triflate,1-Decyl-3-methylimidazolium triflate,0.41,,1.15,<RT,298.0,C15H27F3N2O3S,24.0,26.0,25.0,0.4270833333333333,298.0,1.1057692307692306,liquid,,,,,,,,,
thiocyanate,[S-]C#N,0.9999999773456816,1.0,0.0,7.551439545911171e-09,0.9999999924485607,6.907725837682605e-07,91.47561525881004,91.4756159495826,1.2549333890527818,0.0,57.97569357991,2.0,2.0,58.085,0.6957977631261403,-0.079746475234956,-0.6957977631261403,0,16,45.85600000000001,1-decyl-3-methylimidazolium,CN1C=C[N+](CCCCCCCCCC)=C1,0.5638576909509398,0.9845054033443944,0.0013109790392925,0.175354243705965,0.882508238185646,673.1673136908826,3387.860410185763,3838.899472656352,4.205043714809542,0.1520372437397235,223.21687528409,1.1875,1.9375,196.16799999999995,0.2430288257380962,0.2430288257380962,-0.2395339959546719,0,92,250.29600000000005,1-decyl-3-methylimidazolium thiocyanate,CN1C=C[N+](CCCCCCCCCC)=C1.[S-]C#N,0.493347913269986,0.9771852900034934,0.0012768488816889,0.2123885802033348,0.8691737106552253,680.7177600418627,2785.7523264106694,3205.0581975272057,3.4425668535065457,0.2003193354795156,281.1925688640007,1.3157894736842106,1.947368421052632,254.253,0.6957977631261403,0.2430288257380962,-0.6957977631261403,0,108,262.3280000000001,thiocyanate,[S-]C#N,-489.9281831,-0.14138979,0.199467866,0.0,-4.66e-127,0.464035542,0.464035542,1-decyl-3-methylimidazolium,CN1C=C[N+](CCCCCCCCCC)=C1,-654.744987,-0.506862,-0.061227,-6.515509,-0.416154,-0.301954,6.535764,13.7866464,3.8458022879999993,3.8458022879999993,1.6653744,-5.4255259551999995,1.6653744,2.1804278879999996,imidazolium,thiocyanate,,,,,unknown,,,,,,,,,unknown,0.0,0.0,0.0,1.9019322275591388,0.7124999999999999,0.065847285,0.0,0.0,0.0
acetate,O=C(C)[O-],0.2359627020184542,0.8899378622538983,0.0134460481893538,0.4560817923650993,0.5786010704120381,43.03131018600374,54.591002209803335,94.34998481929448,1.2750182388933566,0.3313871866033073,59.01385291591001,2.5,2.75,56.02,0.5504770280073037,0.0382785989211398,-0.5504770280073037,0,24,54.99200000000001,1-decyl-3-methylimidazolium,CN1C=C[N+](CCCCCCCCCC)=C1,0.5638576909509398,0.9845054033443944,0.0013109790392925,0.175354243705965,0.882508238185646,673.1673136908826,3387.860410185763,3838.899472656352,4.205043714809542,0.1520372437397235,223.21687528409,1.1875,1.9375,196.16799999999995,0.2430288257380962,0.2430288257380962,-0.2395339959546719,0,92,250.29600000000005,1-decyl-3-methylimidazolium acetate,CN1C=C[N+](CCCCCCCCCC)=C1.O=C(C)[O-],0.7826951029805114,0.9968696587929662,0.0027887299659269,0.0790625282798063,0.9727652120303584,348.8201525123326,4291.794317761378,4411.952920071569,4.00328961667047,0.1388099870114907,282.2307282000007,1.3,1.95,252.188,0.5504770280073037,0.2430288257380962,-0.5504770280073037,0,116,260.24800000000005,acetate,O=C(C)[O-],-227.3075369,-0.187561847,0.197690311,-1.517659155,-0.049233405,-0.110204259,1.522451384,1-decyl-3-methylimidazolium,CN1C=C[N+](CCCCCCCCCC)=C1,-654.744987,-0.506862,-0.061227,-6.515509,-0.416154,-0.301954,6.535764,13.7866464,5.1016822384,5.1016822384,1.6653744,-5.3771764592,1.6653744,3.4363078383999994,imidazolium,acetate,,,,,unknown,,,,,,,,,unknown,0.0,0.0,0.0,1.11740991821704,0.7847999999999995,0.54974693,0.0,0.0,0.0
ethyl sulfate,[O-]S(=O)(OCC)=O,0.2656242389904987,0.9262461742641064,0.0076367026189096,0.3769191221749127,0.9499222636274508,124.38906044020808,313.4888386188618,330.01525558707056,1.7517146212982562,0.3544030315811464,124.99140321991,2.142857142857143,2.7142857142857144,120.08499999999998,0.7255193961858338,0.2171240114295389,-0.7255193961858338,0,44,95.44800000000002,1-decyl-3-methylimidazolium,CN1C=C[N+](CCCCCCCCCC)=C1,0.5638576909509398,0.9845054033443944,0.0013109790392925,0.175354243705965,0.882508238185646,673.1673136908826,3387.860410185763,3838.899472656352,4.205043714809542,0.1520372437397235,223.21687528409,1.1875,1.9375,196.16799999999995,0.2430288257380962,0.2430288257380962,-0.2395339959546719,0,92,250.29600000000005,1-decyl-3-methylimidazolium ethyl sulfate,CN1C=C[N+](CCCCCCCCCC)=C1.[O-]S(=O)(OCC)=O,0.7753322232414434,0.9966269786880148,0.0024048656713292,0.0820650068616315,0.9739442105570127,404.9890279396337,4806.393543181831,4934.978298636823,3.815339207335231,0.1111512721818104,348.2082785040008,1.2173913043478262,1.9130434782608696,316.25300000000004,0.7255193961858338,0.2430288257380962,-0.7255193961858338,0,136,277.4800000000001,ethyl sulfate,[O-]S(=O)(OCC)=O,-775.7228699,-0.244251223,0.164500983,2.41072609,0.085358376,-0.460251525,2.455751983,1-decyl-3-methylimidazolium,CN1C=C[N+](CCCCCCCCCC)=C1,-654.744987,-0.506862,-0.061227,-6.515509,-0.416154,-0.301954,6.535764,13.7866464,6.643633265599999,6.643633265599999,1.6653744,-4.4744267376,1.6653744,4.978258865599999,imidazolium,sulfate,,,,,unknown,,,,,,,,,unknown,0.0,0.0,0.0,0.4990512607271553,0.5872199999999997,0.47897473,0.0,0.0,0.0
hydrogensulfate,[O-]S(=O)(O)=O,0.0056314997893453,0.4696059643574802,0.0086512079365449,0.8828761171534095,0.9144530681119244,105.7023568060402,109.48290774882192,119.72501549464072,1.3134226140416538,0.6356397723447234,96.96010309191,2.0,2.2,96.063,0.7256666183954735,0.2324815643842114,-0.7256666183954735,0,32,62.56800000000001,1-decyl-3-methylimidazolium,CN1C=C[N+](CCCCCCCCCC)=C1,0.5638576909509398,0.9845054033443944,0.0013109790392925,0.175354243705965,0.882508238185646,673.1673136908826,3387.860410185763,3838.899472656352,4.205043714809542,0.1520372437397235,223.21687528409,1.1875,1.9375,196.16799999999995,0.2430288257380962,0.2430288257380962,-0.2395339959546719,0,92,250.29600000000005,1-decyl-3-methylimidazolium hydrogensulfate,CN1C=C[N+](CCCCCCCCCC)=C1.[O-]S(=O)(O)=O,0.6310783068923745,0.989554257205678,0.0016704280289104,0.1441609241303582,0.9471004714038684,566.9807109388652,3724.918537019963,3932.970840462776,3.5823333780401216,0.1722515896351091,320.1769783760007,1.3333333333333333,1.9523809523809523,292.231,0.7256666183954735,0.2430288257380962,-0.7256666183954735,0,124,270.5280000000001,hydrogensulfate,[O-]S(=O)(O)=O,-697.6444063,-0.245266174,0.211449714,1.152601973,0.121626795,0.218566002,1.179430152,1-decyl-3-methylimidazolium,CN1C=C[N+](CCCCCCCCCC)=C1,-654.744987,-0.506862,-0.061227,-6.515509,-0.416154,-0.301954,6.535764,13.7866464,6.6712399328,6.6712399328,1.6653744,-5.7514322208,1.6653744,5.0058655328,imidazolium,sulfate,,,,,unknown,,,,,,,,,unknown,0.0,0.0,0.0,,,,,,
methanesulfonate,[O-]S(=O)(C)=O,0.0099655094911756,0.5406323168290204,0.0089597296400267,0.8412589957914779,0.9399014846248128,104.90288461672844,117.2033553114337,124.69748928869774,1.350326859955676,0.6073599821567296,94.98083853591,2.0,2.2,92.075,0.7481561348223558,0.0915833347567586,-0.7481561348223558,0,32,70.32000000000002,1-decyl-3-methylimidazolium,CN1C=C[N+](CCCCCCCCCC)=C1,0.5638576909509398,0.9845054033443944,0.0013109790392925,0.175354243705965,0.882508238185646,673.1673136908826,3387.860410185763,3838.899472656352,4.205043714809542,0.1520372437397235,223.21687528409,1.1875,1.9375,196.16799999999995,0.2430288257380962,0.2430288257380962,-0.2395339959546719,0,92,250.29600000000005,1-decyl-3-methylimidazolium methanesulfonate,CN1C=C[N+](CCCCCCCCCC)=C1.[O-]S(=O)(C)=O,0.4502144564233341,0.9714290792105112,0.001085903978846,0.237330031947536,0.8809071725307768,811.2201351973299,3011.0375401402434,3418.109914453041,3.371492378437873,0.2218972968227342,318.1977138200008,1.238095238095238,1.8571428571428568,288.243,0.7481561348223558,0.2430288257380962,-0.7481561348223558,0,124,261.78400000000005,methanesulfonate,[O-]S(=O)(C)=O,-661.7955126,-0.229049986,0.182782751,-1.677354074,-0.028686162,0.042761527,1.678144253,1-decyl-3-methylimidazolium,CN1C=C[N+](CCCCCCCCCC)=C1,-654.744987,-0.506862,-0.061227,-6.515509,-0.416154,-0.301954,6.535764,13.7866464,6.2301596192,6.2301596192,1.6653744,-4.9716908272,1.6653744,4.5647852192,imidazolium,sulfonate,,,,,unknown,,,,,,,,,unknown,0.0,0.0,0.0,,,,,,
tosylate,[O-]S(=O)(C1=CC=C(C)C=C1)=O,0.5282309275571,0.9808238076362044,0.0047920457907959,0.1948965324833093,0.925298582699124,193.09051354983563,916.7242548843686,990.7334475864602,2.476870237241168,0.114866063232391,171.01213866390998,1.4545454545454546,2.0,164.14099999999996,0.7440357687000244,0.1239242337102684,-0.7440357687000244,0,60,141.67200000000005,1-decyl-3-methylimidazolium,CN1C=C[N+](CCCCCCCCCC)=C1,0.5638576909509398,0.9845054033443944,0.0013109790392925,0.175354243705965,0.882508238185646,673.1673136908826,3387.860410185763,3838.899472656352,4.205043714809542,0.1520372437397235,223.21687528409,1.1875,1.9375,196.16799999999995,0.2430288257380962,0.2430288257380962,-0.2395339959546719,0,92,250.29600000000005,1-decyl-3-methylimidazolium tosylate,CN1C=C[N+](CCCCCCCCCC)=C1.[O-]S(=O)(C1=CC=C(C)C=C1)=O,0.8162720417786791,0.9978222874343544,0.0024191422309124,0.0659597051181445,0.9811390626729024,405.5731201479755,6032.829137646433,6148.801293479528,3.993756159280631,0.1049166030283619,394.2290139480009,1.1111111111111112,1.7777777777777777,360.30900000000014,0.7440357687000244,0.2430288257380962,-0.7440357687000244,0,152,284.09600000000006,tosylate,[O-]S(=O)(C1=CC=C(C)C=C1)=O,-891.3875878,-0.209583212,0.137919287,-4.293266667,0.354061967,0.413394512,4.327631405,1-decyl-3-methylimidazolium,CN1C=C[N+](CCCCCCCCCC)=C1,-654.744987,-0.506862,-0.061227,-6.515509,-0.416154,-0.301954,6.535764,13.7866464,5.7006633664,5.7006633664,1.6653744,-3.7514046064,1.6653744,4.0352889664,imidazolium,tosylate,,,,,unknown,,,,,,,,,unknown,0.0,0.0,0.0,,,,,,
perfluorobutanesulfonate,C(C(C(F)(F)S(=O)(=O)[O-])(F)F)(C(F)(F)F)(F)F,0.2372746494550461,0.9161135304363992,0.0014562525563859,0.4009189436174812,0.9323100732470226,640.2118019698231,1488.7695417993928,1596.8609419979225,2.495722471737373,0.4278181897123646,298.94299241991,0.7058823529411765,1.0,299.0899999999999,0.7431795285429166,0.4596913904891795,-0.7431795285429166,0,104,166.88800000000003,1-decyl-3-methylimidazolium,CN1C=C[N+](CCCCCCCCCC)=C1,0.5638576909509398,0.9845054033443944,0.0013109790392925,0.175354243705965,0.882508238185646,673.1673136908826,3387.860410185763,3838.899472656352,4.205043714809542,0.1520372437397235,223.21687528409,1.1875,1.9375,196.16799999999995,0.2430288257380962,0.2430288257380962,-0.2395339959546719,0,92,250.29600000000005,1-decyl-3-methylimidazolium perfluorobutanesulfonate,CN1C=C[N+](CCCCCCCCCC)=C1.C(C(C(F)(F)S(=O)(=O)[O-])(F)F)(C(F)(F)F)(F)F,0.6521956851694217,0.9907755078558912,0.0011616676968908,0.1355134422590657,0.9743123914073484,838.7186748973598,6030.206186446279,6189.191720877048,3.535028595870305,0.1310909079237776,522.1598677040007,0.9393939393939394,1.4545454545454546,495.258,0.7431795285429166,0.4596913904891795,-0.7431795285429166,0,196,312.19200000000006,perfluorobutanesulfonate,C(C(C(F)(F)S(=O)(=O)[O-])(F)F)(C(F)(F)F)(F)F,-1668.885656,-0.2816,0.169254,-3.498149,-0.38786,-0.473267,3.551263,1-decyl-3-methylimidazolium,CN1C=C[N+](CCCCCCCCCC)=C1,-654.744987,-0.506862,-0.061227,-6.515509,-0.416154,-0.301954,6.535764,13.7866464,7.6595200000000006,7.6595200000000006,1.6653744,-4.6037088,1.6653744,5.9941456,imidazolium,sulfonate,,,,,unknown,,,,,,,,,unknown,0.0,0.0,1.0,,,,,,
formate,O=C([H])[O-],0.6430717835553353,0.9904283654686438,0.1321062503880543,0.1380277250233104,0.8619722749778268,6.524840970399464,40.74711811829055,47.27195908863626,1.0247396150234347,3.2001508871198297e-12,44.99820285191,2.6666666666666665,2.6666666666666665,44.009,0.5538572254674495,0.0802414192913749,-0.5538572254674495,0,18,38.26400000000001,1-decyl-3-methylimidazolium,CN1C=C[N+](CCCCCCCCCC)=C1,0.5638576909509398,0.9845054033443944,0.0013109790392925,0.175354243705965,0.882508238185646,673.1673136908826,3387.860410185763,3838.899472656352,4.205043714809542,0.1520372437397235,223.21687528409,1.1875,1.9375,196.16799999999995,0.2430288257380962,0.2430288257380962,-0.2395339959546719,0,92,250.29600000000005,1-decyl-3-methylimidazolium formate,CN1C=C[N+](CCCCCCCCCC)=C1.O=C([H])[O-],0.6588461723181973,0.9914079837643104,0.0017984950947416,0.130806000353137,0.9292420739475956,516.6775692991691,3670.46262986091,3949.953120684788,3.893387101251452,0.1574663664066368,268.2150781360004,1.368421052631579,2.0,240.177,0.5538572254674495,0.2430288257380962,-0.5538572254674495,0,110,256.85600000000005,formate,O=C([H])[O-],-188.2571256,-0.185790782,0.228998071,0.676251353,0.1062445,0.0,0.684546409,1-decyl-3-methylimidazolium,CN1C=C[N+](CCCCCCCCCC)=C1,-654.744987,-0.506862,-0.061227,-6.515509,-0.416154,-0.301954,6.535764,13.7866464,5.053509270399999,5.053509270399999,1.6653744,-6.2287475312,1.6653744,3.388134870399999,imidazolium,formate,,,,,unknown,,,,,,,,,unknown,0.0,0.0,0.0,1.9013932700210183,0.6725399999999998,-0.01640194,0.0,0.0,0.0
