pair_sml,state,pair
CN1C=C[N+](CCCCCCCCCC)=C1.[S-]C#N,0.0,1-decyl-3-methylimidazolium thiocyanate
CN1C=C[N+](CCCCCCCCCC)=C1.O=C(C)[O-],0.0,1-decyl-3-methylimidazolium acetate
CN1C=C[N+](CCCCCCCCCC)=C1.[O-]S(=O)(OCC)=O,0.0,1-decyl-3-methylimidazolium ethyl sulfate
CN1C=C[N+](CCCCCCCCCC)=C1.[O-]S(=O)(O)=O,0.0,1-decyl-3-methylimidazolium hydrogensulfate
CN1C=C[N+](CCCCCCCCCC)=C1.[O-]S(=O)(C)=O,0.0,1-decyl-3-methylimidazolium methanesulfonate
CN1C=C[N+](CCCCCCCCCC)=C1.[O-]S(=O)(C1=CC=C(C)C=C1)=O,0.0,1-decyl-3-methylimidazolium tosylate
CN1C=C[N+](CCCCCCCCCC)=C1.O=C([H])[O-],0.0,1-decyl-3-methylimidazolium formate
CN1C=C[N+](CCCCCCCCCC)=C1.[O-]P(OCC(CC)CCCC)(OCC(CCCC)CC)=O,0.0,1-decyl-3-methylimidazolium bis(2-ethylhexyl)phosphate
CN1C=C[N+](CCCCCCCCCC)=C1.[O-]S(=O)(C(F)(F)C(F)F)=O,0.0,"1-decyl-3-methylimidazolium 1,1,2,2-tetrafluoroethanesulfonate"
CN1C=C[N+](CCCCCCCCCC)=C1.[O-]P(OCCCC)(OCCCC)=O,0.0,1-decyl-3-methylimidazolium dibutylphosphate
CN1C=C[N+](CCCCCCCCCC)=C1.O=S([N-]S(=O)(C(F)(F)C(F)(F)F)=O)(C(F)(F)C(F)(F)F)=O,0.0,1-decyl-3-methylimidazolium bis(pentafluoroethylsulfonyl)imide
CN1C=C[N+](CCCCCCCCCC)=C1.[O-]P(O)(O)=O,0.0,1-decyl-3-methylimidazolium dihydrogen phosphate
CN1C=C[N+](CCCCCCCCCC)=C1.O=C(C(F)(F)F)[O-],0.0,1-decyl-3-methylimidazolium trifluoroacetate
CN1C=C[N+](CCCCCCCCCC)=C1.[O-]S(=O)(C1=CC=C(CCCCCCCCCCCC)C=C1)=O,0.0,1-decyl-3-methylimidazolium dodecylbenzenesulfonate
CN1C=C[N+](CCCCCCCCCC)=C1.[O-]P(CC(CC(C)C)C)(CC(CC(C)(C)C)C)=O,0.0,"1-decyl-3-methylimidazolium bis(2,4,4-trimethylpentyl)phosphinate"
CN1C=C[N+](CCCCCCCCCC)=C1.[O-]P(OCC)(OCC)=O,0.0,1-decyl-3-methylimidazolium diethyl phosphate
CN1C=C[N+](CCCCCCCCCC)=C1.[O-]P(OC)(OC)=O,0.0,1-decyl-3-methylimidazolium dimethyl phosphate
CN1C=C[N+](CCCCCCCCCC)=C1.[O-]S(=O)(OC)=O,0.0,1-decyl-3-methylimidazolium methyl sulfate
CN1C=C[N+](CCCCCCCCCC)=C1.N#C[N-]C#N,0.0,1-decyl-3-methylimidazolium dicyanamide
CN1C=C[N+](CCCCCCCCCC)=C1.[O-][N+]([O-])=O,0.0,1-decyl-3-methylimidazolium nitrate
CN1C=C[N+](CCCCCCCCCC)=C1.N#C[C-](C#N)C#N,-0.0,1-decyl-3-methylimidazolium tricyanomethanide
CN1C=C[N+](CCCCCCCCCC)=C1.O=C(CCCCCCCCC)[O-],0.0,1-decyl-3-methylimidazolium decanoate
