anion,anion_sml,Asphericity_anion,Eccentricity_anion,InertialShapeFactor_anion,NPR1_anion,NPR2_anion,PMI1_anion,PMI2_anion,PMI3_anion,RadiusOfGyration_anion,SpherocityIndex_anion,ExactMolWt_anion,FpDensityMorgan1_anion,FpDensityMorgan2_anion,HeavyAtomMolWt_anion,MaxAbsPartialCharge_anion,MaxPartialCharge_anion,MinPartialCharge_anion,NumRadicalElectrons_anion,NumValenceElectrons_anion,volume_anion,cation,cation_sml,Asphericity_cation,Eccentricity_cation,InertialShapeFactor_cation,NPR1_cation,NPR2_cation,PMI1_cation,PMI2_cation,PMI3_cation,RadiusOfGyration_cation,SpherocityIndex_cation,ExactMolWt_cation,FpDensityMorgan1_cation,FpDensityMorgan2_cation,HeavyAtomMolWt_cation,MaxAbsPartialCharge_cation,MaxPartialCharge_cation,MinPartialCharge_cation,NumRadicalElectrons_cation,NumValenceElectrons_cation,volume_cation,pair,pair_sml,Asphericity_pair,Eccentricity_pair,InertialShapeFactor_pair,NPR1_pair,NPR2_pair,PMI1_pair,PMI2_pair,PMI3_pair,RadiusOfGyration_pair,SpherocityIndex_pair,ExactMolWt_pair,FpDensityMorgan1_pair,FpDensityMorgan2_pair,HeavyAtomMolWt_pair,MaxAbsPartialCharge_pair,MaxPartialCharge_pair,MinPartialCharge_pair,NumRadicalElectrons_pair,NumValenceElectrons_pair,volume_pair,name_anion,smiles_form_anion,energy_anion,HOMO_anion,LUMO_anion,dipole_x_anion,dipole_y_anion,dipole_z_anion,dipole_total_anion,name_cation,smiles_form_cation,energy_cation,HOMO_cation,LUMO_cation,dipole_x_cation,dipole_y_cation,dipole_z_cation,dipole_total_cation,V_al_cation,V_al_anion,V_al,V_cl_cation,V_cl_anion,V_cl,ECW_computed,cation_type,anion_type,label,conductivity,ECW,density,melting_point,viscosity,formula,T_conductivity,T_density,T_viscosity,conductivity_norm,viscosity_norm,density_norm,state,SVM_predict_x,RF_predict_x,XGB_predict_x,SVM_predict_y,RF_predict_y,XGB_predict_y,SVM_predict,RF_predict,XGB_predict,predicted_state,predicted_conductivity,predicted_conductivity_category
methanesulfonate,[O-]S(=O)(C)=O,0.0099655094911756,0.5406323168290204,0.0089597296400267,0.8412589957914779,0.9399014846248128,104.90288461672844,117.2033553114337,124.69748928869774,1.350326859955676,0.6073599821567296,94.98083853591,2.0,2.2,92.075,0.7481561348223558,0.0915833347567586,-0.7481561348223558,0,32,70.32000000000002,1-methyl-3-pentylimidazolium,CN1C=C[N+](CCCCC)=C1,0.7543770991646164,0.9959046214193544,0.0073848095774534,0.0904100936597903,0.9652030294997144,130.70113987049538,1395.343496012485,1445.6476548107416,3.1137812296892045,0.1495596450581853,153.13862496408998,1.7272727272727273,2.727272727272727,136.11299999999997,0.2430288257328897,0.2430288257328897,-0.2395339959546801,0,62,167.28800000000004,1-methyl-3-pentylimidazolium methanesulfonate,CN1C=C[N+](CCCCC)=C1.[O-]S(=O)(C)=O,0.3802546533968536,0.9593386660862564,0.0026193187125969,0.282257548618,0.8931358719373257,340.980220406933,1078.949590392306,1208.046417452617,2.3001988656733885,0.2640596335745552,248.1194635,1.625,2.375,228.188,0.7481561348223558,0.2430288257328897,-0.7481561348223558,0,94,183.40800000000004,methanesulfonate,[O-]S(=O)(C)=O,-661.7955126,-0.229049986,0.182782751,-1.677354074,-0.028686162,0.042761527,1.678144253,1-methyl-3-pentylimidazolium,CN1C=C[N+](CCCCC)=C1,-459.52432,-0.521183,-0.060365,-2.37558,0.565747,0.507977,2.494292,14.176177599999999,6.2301596192,6.2301596192,1.641928,-4.9716908272,1.641928,4.5882316192,imidazolium,sulfonate,,,,,unknown,,,,,,,,,unknown,0.0,0.0,0.0,,,,,,,0.0,,
bis(fluorosulfonyl)imide,[N-](S(=O)(=O)F)S(=O)(=O)F,0.342076194336941,0.9491169307721,0.0045427358824732,0.3149238824251803,0.9555579704813956,210.3485642139391,638.2502513498666,667.9346215157682,2.051702351926115,0.4222861386598058,179.92422949991,0.8888888888888888,1.1111111111111112,180.13299999999998,0.3793121990657639,0.2412546489997485,-0.3793121990657639,0,56,103.69600000000004,1-decyl-3-methylimidazolium,CN1C=C[N+](CCCCCCCCCC)=C1,0.5638576909509398,0.9845054033443944,0.0013109790392925,0.175354243705965,0.882508238185646,673.1673136908826,3387.860410185763,3838.899472656352,4.205043714809542,0.1520372437397235,223.21687528409,1.1875,1.9375,196.16799999999995,0.2430288257380962,0.2430288257380962,-0.2395339959546719,0,92,250.29600000000005,1-decyl-3-methylimidazolium bis(fluorosulfonyl)imide,CN1C=C[N+](CCCCCCCCCC)=C1.[N-](S(=O)(=O)F)S(=O)(=O)F,0.5922797437673221,0.9866515088286544,0.0015122287132347,0.1628459398515657,0.9456611222920084,625.3426575065943,3631.421451795361,3840.087496664607,3.167467548051625,0.1791618614359452,403.1411047840006,1.08,1.64,376.301,0.3793121990657639,0.2430288257380962,-0.3793121990657639,0,148,289.12000000000006,bis(fluorosulfonyl)imide,[N-](S(=O)(=O)F)S(=O)(=O)F,-1347.908249,-0.303547,0.195733,-0.064455,0.646874,-0.175063,0.673236,1-decyl-3-methylimidazolium,CN1C=C[N+](CCCCCCCCCC)=C1,-654.744987,-0.506862,-0.061227,-6.515509,-0.416154,-0.301954,6.535764,13.7866464,8.2564784,8.2564784,1.6653744,-5.3239376,1.6653744,6.5911040000000005,imidazolium,imid,,,,,unknown,,,,,,,,,unknown,0.0,0.0,0.0,,,,,,,0.0,,
tricyanomethanide,N#C[C-](C#N)C#N,0.2507826797104374,0.8751875875871231,0.0029731626959012,0.4837837187560486,0.5162251452169386,173.628286783164,185.27140142060944,358.89650695483056,1.9962160884634603,1.445710792338219e-05,90.00977057991,0.8571428571428571,1.1428571428571428,90.065,0.2321938399061333,-0.0725516332430955,-0.2321938399061333,0,32,80.85600000000002,butyltrimethylammonium,C[N+](CCCC)(C)C,0.5003968516960271,0.9767119788406328,0.0082248232423825,0.2145546792526693,0.9843518676131234,119.68061058634704,549.0806956906952,557.8093705679833,2.297078879922056,0.3996145229873132,116.14337599609,1.5,2.25,98.08399999999996,0.3309149687208029,0.0923905851407289,-0.3309149687208029,0,50,141.45600000000005,butyltrimethylammonium tricyanomethanide,C[N+](CCCC)(C)C.N#C[C-](C#N)C#N,0.2407745100690758,0.9200550756364873,0.0024241366810222,0.3917890475696557,0.7869270618596176,324.6215727108992,652.0179724631514,828.5621426239207,2.091729983759868,0.4479431571977794,206.153146576,1.2,1.7333333333333334,188.149,0.3309149687208029,0.0923905851407289,-0.3309149687208029,0,82,160.10400000000004,tricyanomethanide,N#C[C-](C#N)C#N,-314.9293715,-0.166972695,0.175975741,-3.05e-07,-6.99e-07,-1.6e-06,1.77e-06,butyltrimethylammonium,C[N+](CCCC)(C)C,-329.875749,-0.601645,-0.062224,-1.887294,0.05548,0.001109,1.88811,16.364743999999998,4.541657304,4.541657304,1.6924928,-4.7865401552,1.6924928,2.849164504,ammonium,tricyanomethanide,,,,,unknown,,,,,,,,,unknown,0.0,0.0,0.0,7.989233368961802,8.198788888888888,6.395784,1.0,1.0,1.0,0.0,7.527935419283563,3.0
dibutylphosphate,[O-]P(OCCCC)(OCCCC)=O,0.6456375877117186,0.990441652583196,0.0034818391824957,0.1379323487375878,0.9612889947595394,276.08655781468593,1924.1241960811856,2001.608472135368,3.168989265335725,0.152425663839022,209.09481926591,1.3076923076923077,1.7692307692307692,191.058,0.7561212906568251,0.267364482619793,-0.7561212906568251,0,80,200.67200000000005,1-methyl-3-propylimidazolium,C[N+]1=CN(CCC)C=C1,0.6081824858703746,0.9880683979711704,0.0086118594025467,0.154015716505442,0.9121891658137792,105.92244057584428,627.3470325116136,687.737868440859,2.38226280905585,0.1690874935401091,125.10732483609,2.0,3.0,112.09099999999998,0.2430286533490257,0.2430286533490257,-0.2395339971402748,0,50,134.12000000000003,1-methyl-3-propylimidazolium dibutylphosphate,C[N+]1=CN(CCC)C=C1.[O-]P(OCCCC)(OCCCC)=O,0.4882951435968461,0.9756014773630634,0.0019329750036598,0.2195489862582112,0.9624502316077987,497.9113696687825,2182.7243260156624,2267.8827998922743,2.720140989262031,0.2353177187198484,334.20214410200083,1.2727272727272727,1.9090909090909087,303.149,0.7561212906568251,0.267364482619793,-0.7561212906568251,0,130,228.52800000000005,dibutylphosphate,[O-]P(OCCCC)(OCCCC)=O,-953.9323006,-0.23546325,0.14732373,0.538130895,-1.901148439,-1.36610921,2.402125022,1-methyl-3-propylimidazolium,C[N+]1=CN(CCC)C=C1,-381.439268,-0.522647,-0.063193,-1.155446,0.201291,0.014286,1.172935,14.215998399999998,6.4046004000000005,6.4046004000000005,1.7188496,-4.007205456,1.7188496,4.685750800000001,imidazolium,phosph,,,,,unknown,,,,,,,,,unknown,0.0,0.0,0.0,-0.8903289222837893,1.995003968253968,0.49675187,0.0,0.0,0.0,0.0,0.5338089719900595,0.0
acetate,O=C(C)[O-],0.2359627020184542,0.8899378622538983,0.0134460481893538,0.4560817923650993,0.5786010704120381,43.03131018600374,54.591002209803335,94.34998481929448,1.2750182388933566,0.3313871866033073,59.01385291591001,2.5,2.75,56.02,0.5504770280073037,0.0382785989211398,-0.5504770280073037,0,24,54.99200000000001,1-methyl-3-propylimidazolium,C[N+]1=CN(CCC)C=C1,0.6081824858703746,0.9880683979711704,0.0086118594025467,0.154015716505442,0.9121891658137792,105.92244057584428,627.3470325116136,687.737868440859,2.38226280905585,0.1690874935401091,125.10732483609,2.0,3.0,112.09099999999998,0.2430286533490257,0.2430286533490257,-0.2395339971402748,0,50,134.12000000000003,1-methyl-3-propylimidazolium acetate,C[N+]1=CN(CCC)C=C1.O=C(C)[O-],0.3681168004411608,0.9572873280472172,0.0042044294489272,0.2891383259967785,0.8424901922734287,200.3815743628156,583.8710953692863,693.0301393702065,2.002285675168292,0.2841776237587801,184.121177752,1.9230769230769231,2.6923076923076925,168.11099999999996,0.5504770280073037,0.2430286533490257,-0.5504770280073037,0,74,140.60000000000002,acetate,O=C(C)[O-],-227.3075369,-0.187561847,0.197690311,-1.517659155,-0.049233405,-0.110204259,1.522451384,1-methyl-3-propylimidazolium,C[N+]1=CN(CCC)C=C1,-381.439268,-0.522647,-0.063193,-1.155446,0.201291,0.014286,1.172935,14.215998399999998,5.1016822384,5.1016822384,1.7188496,-5.3771764592,1.7188496,3.3828326383999996,imidazolium,acetate,,,,,unknown,,,,,,,,,unknown,0.0,0.0,0.0,1.4770012776607293,4.014168650793652,2.203348,0.0,0.0,0.0,0.0,2.564839309484794,0.0
formate,O=C([H])[O-],0.6430717835553353,0.9904283654686438,0.1321062503880543,0.1380277250233104,0.8619722749778268,6.524840970399464,40.74711811829055,47.27195908863626,1.0247396150234347,3.2001508871198297e-12,44.99820285191,2.6666666666666665,2.6666666666666665,44.009,0.5538572254674495,0.0802414192913749,-0.5538572254674495,0,18,38.26400000000001,diethylmethylsulfonium,C[S+](C)CC,0.2668693344479118,0.9271524008305296,0.0082063621901623,0.3746844347369995,0.7277072471844107,88.67598459848364,172.2253466142117,236.66845050749853,1.6516459719342127,0.2635310543807208,91.05759777209,2.0,2.8,80.11099999999999,0.104354275748435,0.104354275748435,-0.0198636442794284,0,32,100.38400000000004,diethylmethylsulfonium formate,C[S+](C)CC.O=C([H])[O-],0.2904863224633048,0.9357714475024372,0.0070601038682123,0.3526071440558081,0.7422070693645518,105.12693343029846,221.2829617548384,298.1418136373883,1.5141020279502042,0.2348316154308382,136.055800624,2.125,2.625,124.11999999999998,0.5538572254674495,0.104354275748435,-0.5538572254674495,0,50,103.20000000000005,formate,O=C([H])[O-],-188.2571256,-0.185790782,0.228998071,0.676251353,0.1062445,0.0,0.684546409,diethylmethylsulfonium,C[S+](C)CC,-555.218942,-0.623282,-0.066731,-0.497656,-0.227132,-0.428982,0.69518,16.9532704,5.053509270399999,5.053509270399999,1.8150832,-6.2287475312,1.8150832,3.238426070399999,sulfonium,formate,,,,,unknown,,,,,,,,,unknown,0.0,0.0,0.0,,,,,,,0.0,,
bis(pentafluoroethylsulfonyl)imide,O=S([N-]S(=O)(C(F)(F)C(F)(F)F)=O)(C(F)(F)C(F)(F)F)=O,0.4448653927877883,0.9699344629271202,0.0011058077433375,0.2433662623008354,0.9364938145771774,846.8866493470794,3258.890945948543,3479.885179401764,3.158624411259257,0.2453160426983018,379.91145525991,0.5238095238095238,0.7142857142857143,380.161,0.4670986542902713,0.4670986542902713,-0.4251266620869864,0,128,211.95200000000008,1-butyl-1-methylpyrrolidinium,C[N+]1(CCCC)CCCC1,0.4085793552846828,0.9619668398564002,0.0051445240327445,0.2731662479456252,0.9981755734494736,194.02680735790983,708.992495066973,710.2883640168152,2.381184464885931,0.4762651585561519,142.15902606009,1.6,2.4,122.10599999999997,0.3260373834140156,0.0924120516236579,-0.3260373834140156,0,60,164.52000000000004,1-butyl-1-methylpyrrolidinium bis(pentafluoroethylsulfonyl)imide,C[N+]1(CCCC)CCCC1.O=S([N-]S(=O)(C(F)(F)C(F)(F)F)=O)(C(F)(F)C(F)(F)F)=O,0.4242944118002461,0.9663519212637997,0.0008664906525838,0.2572235686514034,0.948237467304082,1094.3424080530126,4034.2200320762754,4254.440655615412,2.9966990141661376,0.3616901241737891,522.0704813200005,0.8709677419354839,1.2580645161290325,502.267,0.4670986542902713,0.4670986542902713,-0.4251266620869864,0,188,250.1920000000001,bis(pentafluoroethylsulfonyl)imide,O=S([N-]S(=O)(C(F)(F)C(F)(F)F)=O)(C(F)(F)C(F)(F)F)=O,-2295.140611,-0.306090575,0.165843076,0.352132462,-0.867730231,2.144744178,2.340273619,1-butyl-1-methylpyrrolidinium,C[N+]1(CCCC)CCCC1,-406.804367,-0.596161,-0.055684,-1.267525,0.120977,0.182201,1.286255,16.2155792,8.325663639999998,8.325663639999998,1.5146047999999999,-4.5109316672,1.5146047999999999,6.8110588399999985,pyrrolidinium,imid,,,,,unknown,,,,,,,,,unknown,0.0,0.0,0.0,-0.3976179615663791,1.6083930555555557,1.5298918,0.0,0.0,0.0,0.0,0.9135556313297255,0.0
bis(fluorosulfonyl)imide,[N-](S(=O)(=O)F)S(=O)(=O)F,0.342076194336941,0.9491169307721,0.0045427358824732,0.3149238824251803,0.9555579704813956,210.3485642139391,638.2502513498666,667.9346215157682,2.051702351926115,0.4222861386598058,179.92422949991,0.8888888888888888,1.1111111111111112,180.13299999999998,0.3793121990657639,0.2412546489997485,-0.3793121990657639,0,56,103.69600000000004,1-propyl-4-methylpyridinium,CCC[N+]1=CC=C(C)C=C1,0.48303896014359,0.9757310473291024,0.0057241865539229,0.21897242583954,0.904315590066992,157.98150209608937,652.434363550342,721.467561453861,2.3712678398898115,0.2393731928826091,136.11207586809,1.7,2.5,122.10599999999998,0.2051157823563954,0.1685353107487326,-0.2051157823563954,0,54,148.40800000000004,1-propyl-4-methylpyridinium bis(fluorosulfonyl)imide,CCC[N+]1=CC=C(C)C=C1.[N-](S(=O)(=O)F)S(=O)(=O)F,0.480118002067789,0.974712370169117,0.0028868302616953,0.2234631858702947,0.9521058616691688,329.8101292280392,1405.2165060340014,1475.903639087432,2.2527647079850426,0.1901904934144007,316.03630536800034,1.3157894736842106,1.8421052631578947,302.239,0.3793121990657639,0.2412546489997485,-0.3793121990657639,0,110,176.72000000000006,bis(fluorosulfonyl)imide,[N-](S(=O)(=O)F)S(=O)(=O)F,-1347.908249,-0.303547,0.195733,-0.064455,0.646874,-0.175063,0.673236,1-propyl-4-methylpyridinium,CCC[N+]1=CC=C(C)C=C1,-403.320886,-0.538389,-0.095017,0.453156,0.194244,0.214053,0.537494,14.644180799999999,8.2564784,8.2564784,2.5844624,-5.3239376,2.5844624,5.672016000000001,pyridinium,imid,,,,,unknown,,,,,,,,,unknown,0.0,0.0,0.0,,,,,,,0.0,,
formate,O=C([H])[O-],0.6430717835553353,0.9904283654686438,0.1321062503880543,0.1380277250233104,0.8619722749778268,6.524840970399464,40.74711811829055,47.27195908863626,1.0247396150234347,3.2001508871198297e-12,44.99820285191,2.6666666666666665,2.6666666666666665,44.009,0.5538572254674495,0.0802414192913749,-0.5538572254674495,0,18,38.26400000000001,1-methyl-1-propylpyrrolidinium,C[N+]1(CCC)CCCC1,0.3723199046535293,0.9560872775073692,0.0061046105437029,0.2930821007645244,0.9573327102613844,156.82125885145896,512.2459555573157,535.0762071186883,2.166776164344504,0.4646867981717321,128.14337599609,1.6666666666666667,2.4444444444444446,110.09499999999996,0.3260460189103793,0.0924120505438667,-0.3260460189103793,0,54,148.04800000000003,1-methyl-1-propylpyrrolidinium formate,C[N+]1(CCC)CCCC1.O=C([H])[O-],0.3685238354278445,0.9556559613870448,0.0054240208425948,0.2944854554394891,0.945498999034822,174.31699222278417,559.676339245453,591.9375269744105,1.956146151072652,0.4537828590540363,173.141578848,1.8333333333333333,2.4166666666666665,154.10399999999996,0.5538572254674495,0.0924120505438667,-0.5538572254674495,0,72,148.06400000000002,formate,O=C([H])[O-],-188.2571256,-0.185790782,0.228998071,0.676251353,0.1062445,0.0,0.684546409,1-methyl-1-propylpyrrolidinium,C[N+]1(CCC)CCCC1,-367.752011,-0.624353,-0.057267,-0.146642,-0.583621,-0.418736,0.733114,16.9824016,5.053509270399999,5.053509270399999,1.5576624,-6.2287475312,1.5576624,3.4958468703999994,pyrrolidinium,formate,,,,,unknown,,,,,,,,,unknown,0.0,0.0,0.0,4.193682575404576,5.613363095238095,3.0677593,0.0,0.0,0.0,0.0,4.291601656880891,0.0
"bis(2,4,4-trimethylpentyl)phosphinate",[O-]P(CC(CC(C)C)C)(CC(CC(C)(C)C)C)=O,0.5626089968069085,0.9841895799292324,0.0014278593935113,0.1771182394862855,0.9306165456667388,651.7564333685425,3424.4656134608404,3679.781569977769,3.7525592236948415,0.1962209945187081,275.2145404739105,1.2222222222222223,1.8333333333333333,243.137,0.7992917735549395,0.0337462102550307,-0.7992917735549395,0,110,296.1840000000001,tributylmethylphosphonium,C[P+](CCCC)(CCCC)CCCC,0.2124745407355223,0.9024137821246696,0.0008262987315113,0.4308704745413052,0.7079224555752475,856.7391290561434,1407.626894542948,1988.391360462116,3.127760496378808,0.2865016800371301,217.20796401009,0.8571428571428571,1.2857142857142858,187.117,0.0708201979959861,0.0708201979959861,-0.0652454097722287,0,86,252.0960000000001,"tributylmethylphosphonium bis(2,4,4-trimethylpentyl)phosphinate",C[P+](CCCC)(CCCC)CCCC.[O-]P(CC(CC(C)C)C)(CC(CC(C)(C)C)C)=O,0.3019165403846767,0.9411825185051964,0.000498018857857,0.337898604407026,0.8376514266227262,1681.9672857914404,4169.6008154529645,4977.727826793198,3.314910417896456,0.2798283167100507,492.4225044840017,0.90625,1.4375,430.2540000000003,0.7992917735549395,0.0708201979959861,-0.7992917735549395,0,196,402.1200000000001,"bis(2,4,4-trimethylpentyl)phosphinate",[O-]P(CC(CC(C)C)C)(CC(CC(C)(C)C)C)=O,-1077.404223,-0.207207423,0.135882906,1.442152113,2.468010352,0.276517202,2.871818166,tributylmethylphosphonium,C[P+](CCCC)(CCCC)CCCC,-850.4691471,-0.572435832,-0.053370803,0.268325564,-0.042388482,-0.281023632,0.390857612,15.570254630400001,5.6360419056,5.6360419056,1.4516858416,-3.6960150431999996,1.4516858416,4.184356064,phosphonium,phosph,,,,,unknown,,,,,,,,,unknown,0.0,0.0,0.0,-1.3807178445850603,0.1083777777777777,0.13960129,0.0,0.0,0.0,0.0,-0.37757959226909427,0.0
