anion,anion_sml,Asphericity_anion,Eccentricity_anion,InertialShapeFactor_anion,NPR1_anion,NPR2_anion,PMI1_anion,PMI2_anion,PMI3_anion,RadiusOfGyration_anion,SpherocityIndex_anion,ExactMolWt_anion,FpDensityMorgan1_anion,FpDensityMorgan2_anion,HeavyAtomMolWt_anion,MaxAbsPartialCharge_anion,MaxPartialCharge_anion,MinPartialCharge_anion,NumRadicalElectrons_anion,NumValenceElectrons_anion,volume_anion,cation,cation_sml,Asphericity_cation,Eccentricity_cation,InertialShapeFactor_cation,NPR1_cation,NPR2_cation,PMI1_cation,PMI2_cation,PMI3_cation,RadiusOfGyration_cation,SpherocityIndex_cation,ExactMolWt_cation,FpDensityMorgan1_cation,FpDensityMorgan2_cation,HeavyAtomMolWt_cation,MaxAbsPartialCharge_cation,MaxPartialCharge_cation,MinPartialCharge_cation,NumRadicalElectrons_cation,NumValenceElectrons_cation,volume_cation,pair,pair_sml,Asphericity_pair,Eccentricity_pair,InertialShapeFactor_pair,NPR1_pair,NPR2_pair,PMI1_pair,PMI2_pair,PMI3_pair,RadiusOfGyration_pair,SpherocityIndex_pair,ExactMolWt_pair,FpDensityMorgan1_pair,FpDensityMorgan2_pair,HeavyAtomMolWt_pair,MaxAbsPartialCharge_pair,MaxPartialCharge_pair,MinPartialCharge_pair,NumRadicalElectrons_pair,NumValenceElectrons_pair,volume_pair,name_anion,smiles_form_anion,energy_anion,HOMO_anion,LUMO_anion,dipole_x_anion,dipole_y_anion,dipole_z_anion,dipole_total_anion,name_cation,smiles_form_cation,energy_cation,HOMO_cation,LUMO_cation,dipole_x_cation,dipole_y_cation,dipole_z_cation,dipole_total_cation,V_al_cation,V_al_anion,V_al,V_cl_cation,V_cl_anion,V_cl,ECW_computed,cation_type,anion_type,label,conductivity,ECW,density,melting_point,viscosity,formula,T_conductivity,T_density,T_viscosity,conductivity_norm,viscosity_norm,density_norm,state,SVM_predict_x,RF_predict_x,XGB_predict_x,SVM_predict_y,RF_predict_y,XGB_predict_y,SVM_predict,RF_predict,XGB_predict,predicted_state,predicted_conductivity,predicted_conductivity_category
chloride,[Cl-],0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,34.96940125991,1.0,1.0,35.453,1.0,-1.0,-1.0,0,8,23.75200000000001,butyltrimethylammonium,C[N+](CCCC)(C)C,0.5003968516960271,0.9767119788406328,0.0082248232423825,0.2145546792526693,0.9843518676131234,119.68061058634704,549.0806956906952,557.8093705679833,2.297078879922056,0.3996145229873132,116.14337599609,1.5,2.25,98.08399999999996,0.3309149687208029,0.0923905851407289,-0.3309149687208029,0,50,141.45600000000005,butyltrimethylammonium chloride,C[N+](CCCC)(C)C.[Cl-],0.251004992930829,0.9214338278316476,0.0059863867198768,0.3885353277728007,0.9371557069443546,156.54780601338072,377.5967314376293,402.9178167935436,1.7575336787967175,0.5613748244073229,151.112777256,1.4444444444444444,2.111111111111111,133.53699999999998,1.0,0.0923905851407289,-1.0,0,58,141.68800000000005,chloride,[Cl-],-459.565427,-0.150075606,0.299887679,0.0,0.0,0.0,0.0,butyltrimethylammonium,C[N+](CCCC)(C)C,-329.875749,-0.601645,-0.062224,-1.887294,0.05548,0.001109,1.88811,16.364743999999998,4.0820564832,4.0820564832,1.6924928,-8.1569448688,1.6924928,2.3895636831999996,ammonium,chloride,,,,,unknown,,,,,,,,,unknown,1.0,1.0,1.0,,,,,,,3.0,,
dihydrogen phosphate,[O-]P(O)(O)=O,0.0031867923129846,0.4182301037742367,0.0081030071625083,0.9083411145032416,0.9412050004380836,116.15502511128564,120.35752727161515,127.8759964254278,1.3706066618297943,0.5690022674972517,96.96961875391,2.0,2.4,94.97,0.7563898629138743,0.2621199175773143,-0.7563898629138743,0,32,67.68800000000002,tetraethylammonium,CC[N+](CC)(CC)CC,0.0471103272551006,0.7267933013968224,0.0028246413812343,0.686856241905617,0.8207507056542084,290.5681093206767,347.2109099626197,423.0406475080189,2.0179415462568056,0.6700050614061424,130.15902606009,1.0,1.3333333333333333,110.09499999999996,0.3245236765649472,0.0921141359498747,-0.3245236765649472,0,56,156.37600000000003,tetraethylammonium dihydrogen phosphate,CC[N+](CC)(CC)CC.[O-]P(O)(O)=O,0.0352317794271267,0.6935977396604837,0.0021155724081319,0.7203625306315341,0.8600477732388285,406.5319484849224,485.3624143087741,564.3435509180637,1.7900197519573129,0.6701451371585896,227.128644814,1.2857142857142858,1.6428571428571428,205.065,0.7563898629138743,0.2621199175773143,-0.7563898629138743,0,88,157.76000000000005,dihydrogen phosphate,[O-]P(O)(O)=O,-641.6052552,-0.240862929,0.190874695,0.195287505,-1.581528603,0.623451987,1.711158179,tetraethylammonium,CC[N+](CC)(CC)CC,-368.918308,-0.644951,-0.053257,2e-06,1e-06,2e-06,3e-06,17.5426672,6.5514716688,6.5514716688,1.4485903999999998,-5.191791704,1.4485903999999998,5.1028812688,ammonium,phosph,,,,,unknown,,,,,,,,,unknown,1.0,1.0,1.0,,,,,,,3.0,,
dihydrogen phosphate,[O-]P(O)(O)=O,0.0031867923129846,0.4182301037742367,0.0081030071625083,0.9083411145032416,0.9412050004380836,116.15502511128564,120.35752727161515,127.8759964254278,1.3706066618297943,0.5690022674972517,96.96961875391,2.0,2.4,94.97,0.7563898629138743,0.2621199175773143,-0.7563898629138743,0,32,67.68800000000002,1-butyl-1-methylpiperidinium,C[N+]1(CCCC)CCCCC1,0.3688326195391857,0.9539327271584768,0.0042992653244315,0.3000205860536757,0.9918741757555573,230.7078305028068,762.7247924226922,768.9733345882192,2.374478352368535,0.4892429118521065,156.17467612408998,1.4545454545454546,2.272727272727273,134.11699999999996,0.3260439466233752,0.0924080710966681,-0.3260439466233752,0,66,179.45600000000005,1-butyl-1-methylpiperidinium dihydrogen phosphate,C[N+]1(CCCC)CCCCC1.[O-]P(O)(O)=O,0.275563984779226,0.9326799585852316,0.0023285681197804,0.3607049969898547,0.8741541172296303,375.4041420579276,909.7769067341876,1040.7511545189,2.142811342716296,0.3535938397203855,253.144294878,1.5625,2.25,229.087,0.7563898629138743,0.2621199175773143,-0.7563898629138743,0,98,189.58400000000003,dihydrogen phosphate,[O-]P(O)(O)=O,-641.6052552,-0.240862929,0.190874695,0.195287505,-1.581528603,0.623451987,1.711158179,1-butyl-1-methylpiperidinium,C[N+]1(CCCC)CCCCC1,-445.842325,-0.593124,-0.055555,-0.740863,0.526591,-0.131702,0.918434,16.132972799999997,6.5514716688,6.5514716688,1.511096,-5.191791704,1.511096,5.040375668799999,piperidinium,phosph,,,,,unknown,,,,,,,,,unknown,1.0,1.0,1.0,,,,,,,3.0,,
bis(fluorosulfonyl)imide,[N-](S(=O)(=O)F)S(=O)(=O)F,0.342076194336941,0.9491169307721,0.0045427358824732,0.3149238824251803,0.9555579704813956,210.3485642139391,638.2502513498666,667.9346215157682,2.051702351926115,0.4222861386598058,179.92422949991,0.8888888888888888,1.1111111111111112,180.13299999999998,0.3793121990657639,0.2412546489997485,-0.3793121990657639,0,56,103.69600000000004,hexadecyltrimethylammonium,C[N+](C)(C)CCCCCCCCCCCCCCCC,0.6895281727602419,0.993075562630288,0.0010658988222363,0.1174773463546774,0.9441515436628324,885.7797043831307,7118.906761084175,7540.004365683079,5.226310708617661,0.1363404650017704,284.3311767640908,0.6,1.0,242.21599999999992,0.3309148190196808,0.092390766651114,-0.3309148190196808,0,122,339.3680000000001,hexadecyltrimethylammonium bis(fluorosulfonyl)imide,C[N+](C)(C)CCCCCCCCCCCCCCCC.[N-](S(=O)(=O)F)S(=O)(=O)F,0.771189564980718,0.9964652905371616,0.0012474292780519,0.0840055043118589,0.9825996291230964,787.6996687600526,9213.603426635818,9376.76257303123,4.566262635419492,0.1136730378915218,464.25540626400107,0.6896551724137931,1.0344827586206895,422.349,0.3793121990657639,0.2412546489997485,-0.3793121990657639,0,178,376.68000000000006,bis(fluorosulfonyl)imide,[N-](S(=O)(=O)F)S(=O)(=O)F,-1347.908249,-0.303547,0.195733,-0.064455,0.646874,-0.175063,0.673236,hexadecyltrimethylammonium,C[N+](C)(C)CCCCCCCCCCCCCCCC,-798.3892649,-0.484745289,-0.059985592,-9.689936326,-0.972874098,1.971977525,9.93629938,13.1850718608,8.2564784,8.2564784,1.6316081024,-5.3239376,1.6316081024,6.624870297600001,ammonium,imid,,,,,unknown,,,,,,,,,unknown,1.0,1.0,1.0,,,,,,,3.0,,
dihydrogen phosphate,[O-]P(O)(O)=O,0.0031867923129846,0.4182301037742367,0.0081030071625083,0.9083411145032416,0.9412050004380836,116.15502511128564,120.35752727161515,127.8759964254278,1.3706066618297943,0.5690022674972517,96.96961875391,2.0,2.4,94.97,0.7563898629138743,0.2621199175773143,-0.7563898629138743,0,32,67.68800000000002,1-methyl-1-propylpiperidinium,C[N+]1(CCC)CCCCC1,0.137318262992425,0.8609229034847233,0.003005582423701,0.5087354462345177,0.8680835527829525,288.8237387660806,492.8359899666513,567.728749596383,2.1777245172994206,0.5696607971005905,142.15902606009,1.5,2.3,122.10599999999997,0.3260525821199674,0.0924080700169549,-0.3260525821199674,0,60,163.57600000000005,1-methyl-1-propylpiperidinium dihydrogen phosphate,C[N+]1(CCC)CCCCC1.[O-]P(O)(O)=O,0.2383544822949672,0.9147802739934304,0.003056448688338,0.4039517920649744,0.9598533106175045,314.04201689361287,746.213472769661,777.4244923837351,1.959711566950908,0.4914086781145743,239.128644814,1.6,2.2666666666666666,217.076,0.7563898629138743,0.2621199175773143,-0.7563898629138743,0,92,170.56800000000004,dihydrogen phosphate,[O-]P(O)(O)=O,-641.6052552,-0.240862929,0.190874695,0.195287505,-1.581528603,0.623451987,1.711158179,1-methyl-1-propylpiperidinium,C[N+]1(CCC)CCCCC1,-406.807301,-0.611591,-0.057264,0.035753,-0.858503,0.017646,0.859428,16.6352752,6.5514716688,6.5514716688,1.5575808,-5.191791704,1.5575808,4.993890868799999,piperidinium,phosph,,,,,unknown,,,,,,,,,unknown,1.0,1.0,1.0,,,,,,,3.0,,
trifluoroacetate,O=C(C(F)(F)F)[O-],0.1094927078299946,0.8353470514117276,0.0062347897229644,0.5497229335744802,0.8444699181498045,135.4448114006785,208.0667583824749,246.3874128735572,1.6155027531668105,0.4472584203441428,112.98558747991,1.4285714285714286,1.5714285714285714,113.014,0.541726828036536,0.4302922167488184,-0.541726828036536,0,42,71.37600000000002,methylammonium,[NH3+]C,0.4447991303940336,0.968421609453908,0.164855958591664,0.2493182431004652,0.996296472935047,6.043436230308179,24.15007472292219,24.23984765476194,0.9212874897703428,0.600973720969106,32.04947561209,3.5,4.0,26.018,0.3599997344174269,0.3437739564411743,-0.3599997344174269,0,14,43.13600000000001,methylammonium trifluoroacetate,[NH3+]C.O=C(C(F)(F)F)[O-],0.1241955827226402,0.8500153798509769,0.005961615606928,0.5267578703890428,0.8465339605197069,141.99740747054318,228.1990160693572,269.568648999339,1.484880458839877,0.5296491635881692,145.035063092,1.8888888888888888,2.111111111111111,139.032,0.541726828036536,0.4302922167488184,-0.541726828036536,0,56,73.88000000000002,trifluoroacetate,O=C(C(F)(F)F)[O-],-523.9974239,-0.229043901,0.208025085,-2.008840314,0.314340068,-0.066507194,2.034372703,methylammonium,[NH3+]C,-95.60898671,-0.786778763,-0.117407733,-0.847984989,0.055302955,0.074264221,0.853025283,21.4003823536,6.2299941072,6.2299941072,3.1934903376,-5.658282312,3.1934903376,3.0365037695999995,ammonium,acetate,,,,,unknown,,,,,,,,,unknown,1.0,1.0,1.0,,,,,,,3.0,,
trifluoroacetate,O=C(C(F)(F)F)[O-],0.1094927078299946,0.8353470514117276,0.0062347897229644,0.5497229335744802,0.8444699181498045,135.4448114006785,208.0667583824749,246.3874128735572,1.6155027531668105,0.4472584203441428,112.98558747991,1.4285714285714286,1.5714285714285714,113.014,0.541726828036536,0.4302922167488184,-0.541726828036536,0,42,71.37600000000002,1-methyl-1-propylpiperidinium,C[N+]1(CCC)CCCCC1,0.137318262992425,0.8609229034847233,0.003005582423701,0.5087354462345177,0.8680835527829525,288.8237387660806,492.8359899666513,567.728749596383,2.1777245172994206,0.5696607971005905,142.15902606009,1.5,2.3,122.10599999999997,0.3260525821199674,0.0924080700169549,-0.3260525821199674,0,60,163.57600000000005,1-methyl-1-propylpiperidinium trifluoroacetate,C[N+]1(CCC)CCCCC1.O=C(C(F)(F)F)[O-],0.203850106033206,0.900388500985823,0.0025199994837251,0.4350868273028989,0.9331199044096348,370.2857522138378,794.1426493003914,851.0617398123436,1.986858532074674,0.5001427352298006,255.14461354,1.4705882352941178,2.0,235.11999999999992,0.541726828036536,0.4302922167488184,-0.541726828036536,0,102,170.54400000000004,trifluoroacetate,O=C(C(F)(F)F)[O-],-523.9974239,-0.229043901,0.208025085,-2.008840314,0.314340068,-0.066507194,2.034372703,1-methyl-1-propylpiperidinium,C[N+]1(CCC)CCCCC1,-406.807301,-0.611591,-0.057264,0.035753,-0.858503,0.017646,0.859428,16.6352752,6.2299941072,6.2299941072,1.5575808,-5.658282312,1.5575808,4.672413307199999,piperidinium,acetate,,,,,unknown,,,,,,,,,unknown,1.0,1.0,1.0,,,,,,,3.0,,
perfluorobutanesulfonate,C(C(C(F)(F)S(=O)(=O)[O-])(F)F)(C(F)(F)F)(F)F,0.2372746494550461,0.9161135304363992,0.0014562525563859,0.4009189436174812,0.9323100732470226,640.2118019698231,1488.7695417993928,1596.8609419979225,2.495722471737373,0.4278181897123646,298.94299241991,0.7058823529411765,1.0,299.0899999999999,0.7431795285429166,0.4596913904891795,-0.7431795285429166,0,104,166.88800000000003,ethylammonium,[NH3+]CC,0.4396093980003753,0.969705385207573,0.0550680746857741,0.2442774363289254,0.8972986811848263,16.294353603334308,59.85367383397499,66.70429266088075,1.244833202958973,0.4643808425188833,46.06512567609,3.333333333333333,4.333333333333333,38.029,0.3577895664266716,0.3439985046778046,-0.3577895664266716,0,20,60.128000000000014,ethylammonium perfluorobutanesulfonate,[NH3+]CC.C(C(C(F)(F)S(=O)(=O)[O-])(F)F)(C(F)(F)F)(F)F,0.1513545786720483,0.8724298384848352,0.0010645448173161,0.4887393752516001,0.8408978318955859,789.9130390917948,1359.0805152877208,1616.2254958179956,2.3353685448760366,0.484683305958867,345.0081180960002,1.1,1.5,337.1189999999999,0.7431795285429166,0.4596913904891795,-0.7431795285429166,0,124,170.24800000000005,perfluorobutanesulfonate,C(C(C(F)(F)S(=O)(=O)[O-])(F)F)(C(F)(F)F)(F)F,-1668.885656,-0.2816,0.169254,-3.498149,-0.38786,-0.473267,3.551263,ethylammonium,[NH3+]CC,-134.66107,-0.701243,-0.107137,-1.506178,0.236083,0.229703,1.541775,19.073809599999997,7.6595200000000006,7.6595200000000006,2.9141264,-4.6037088,2.9141264,4.745393600000001,ammonium,sulfonate,,,,,unknown,,,,,,,,,unknown,1.0,1.0,1.0,,,,,,,3.0,,
chloride,[Cl-],0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,34.96940125991,1.0,1.0,35.453,1.0,-1.0,-1.0,0,8,23.75200000000001,1-(2-methoxyethyl)-3-methylimidazolium,CN1C=C[N+](CCOC)=C1,0.6827419017817788,0.9927454999514648,0.0082528528796455,0.1202346552626001,0.9338637455703588,113.1564756077978,878.8874548344074,941.1302869431188,2.616449629809526,0.1556203891302689,141.10223945609,2.0,3.0,128.08999999999995,0.380608947854481,0.2431135645393914,-0.380608947854481,0,56,143.31200000000004,1-(2-methoxyethyl)-3-methylimidazolium chloride,CN1C=C[N+](CCOC)=C1.[Cl-],0.6356766750196368,0.9899870688513668,0.0069109061802095,0.1411580798504959,0.9161939356026464,132.57218542863663,860.4667366398699,939.175324353003,2.33861918979113,0.1555002355396207,176.071640716,1.9090909090909087,2.8181818181818183,163.54299999999998,1.0,0.2431135645393914,-1.0,0,64,147.48000000000005,chloride,[Cl-],-459.565427,-0.150075606,0.299887679,0.0,0.0,0.0,0.0,1-(2-methoxyethyl)-3-methylimidazolium,CN1C=C[N+](CCOC)=C1,-456.3102237,-0.516717896,-0.057638862,-1.026980518,-0.209451615,0.039584882,1.048868879,14.054726771199999,4.0820564832,4.0820564832,1.5677770464,-8.1569448688,1.5677770464,2.5142794368,imidazolium,chloride,,,,,unknown,,,,,,,,,unknown,1.0,1.0,1.0,,,,,,,3.0,,
"bis(2,4,4-trimethylpentyl)phosphinate",[O-]P(CC(CC(C)C)C)(CC(CC(C)(C)C)C)=O,0.5626089968069085,0.9841895799292324,0.0014278593935113,0.1771182394862855,0.9306165456667388,651.7564333685425,3424.4656134608404,3679.781569977769,3.7525592236948415,0.1962209945187081,275.2145404739105,1.2222222222222223,1.8333333333333333,243.137,0.7992917735549395,0.0337462102550307,-0.7992917735549395,0,110,296.1840000000001,1-hexadecyl-3-methylimidazolium,CN1C=C[N+](CCCCCCCCCCCCCCCC)=C1,0.4278222566867919,0.9678685193406428,0.0004190089616368,0.2514568139250789,0.8057352583538212,1922.9547148736265,6161.664063925658,7647.25634138738,5.057317339895135,0.1388357814782586,307.3107756680911,0.8636363636363636,1.4090909090909092,268.234,0.2430288257380962,0.2430288257380962,-0.2395339959546719,0,128,349.1280000000001,"1-hexadecyl-3-methylimidazolium bis(2,4,4-trimethylpentyl)phosphinate",CN1C=C[N+](CCCCCCCCCCCCCCCC)=C1.[O-]P(CC(CC(C)C)C)(CC(CC(C)(C)C)C)=O,0.5273026923874875,0.980509969259134,0.0004222486608716,0.1964693364966953,0.9453545146409692,2238.8573422341115,10772.744153659309,11395.454283889076,4.5754218644348335,0.2403231605588509,582.5253161420019,0.9,1.475,511.3710000000004,0.7992917735549395,0.2430288257380962,-0.7992917735549395,0,238,500.6560000000001,"bis(2,4,4-trimethylpentyl)phosphinate",[O-]P(CC(CC(C)C)C)(CC(CC(C)(C)C)C)=O,-1077.404223,-0.207207423,0.135882906,1.442152113,2.468010352,0.276517202,2.871818166,1-hexadecyl-3-methylimidazolium,CN1C=C[N+](CCCCCCCCCCCCCCCC)=C1,-810.9189,-0.483238,-0.060829,10.217682,-0.650834,-0.30379,10.242895,13.1440736,5.6360419056,5.6360419056,1.6545488,-3.6960150431999996,1.6545488,3.9814931056000002,imidazolium,phosph,,,,,unknown,,,,,,,,,unknown,1.0,1.0,1.0,,,,,,,3.0,,
