pair,SVM_predict,RF_predict,XGB_predict
"1-hexyl-3-methylimidazolium bis(2,4,4-trimethylpentyl)phosphinate",4.3601526173196525,4.544411123153059,4.101469
1-decyl-3-methylimidazolium tetrafluoroborate,4.221457413559097,4.495817230969653,4.549707
1-propyl-3-methylpyridinium diethyl phosphate,4.179061085884759,4.307526007442068,4.390027
1-decyl-3-methylimidazolium bis(pentafluoroethylsulfonyl)imide,4.437578159082265,4.495817230969653,3.8143215
"butyltriethylammonium bis(2,4,4-trimethylpentyl)phosphinate",4.365832883434593,4.1861052623471995,4.1400595
1-butyl-3-methylpyridinium hydrogensulfate,4.081913597341457,4.1592238631925555,3.4337277
diethylmethylsulfonium thiocyanate,4.097722077387126,3.716253968253968,3.7409308
1-butyl-1-methylpiperidinium dibutylphosphate,4.325358645923538,4.211210950776417,3.8130002
1-propyl-4-methylpyridinium dicyanamide,4.076102160386791,3.4487814407814406,3.0615876
1-hexyl-1-methylpyrrolidinium dicyanamide,4.096429777488105,4.095143723885661,3.347784
1-butylpyridinium hydrogensulfate,4.097527499798574,4.2134675907911205,3.7120783
1-hexyl-3-methylimidazolium methyl sulfate,4.172806610645273,4.786125408867344,4.500905
"1,2-dimethylimidazolium bis(pentafluoroethylsulfonyl)imide",4.424955109193002,4.2598315678872165,4.1284847
1-decyl-3-methylimidazolium dihydrogen phosphate,4.183845499465997,4.4450613781268435,4.0490513
"1,3-dimethylimidazolium dicyanamide",4.050094513145284,3.3579481074481072,2.3003056
1-methyl-3-octylimidazolium bis(pentafluoroethylsulfonyl)imide,4.432589137764277,4.352928342080764,4.325686
"1,3-diethylimidazolium tricyanomethanide",4.126879286527771,3.6381932716406404,4.1591086
1-butyl-3-ethylimidazolium triflate,4.190044069809739,4.400622781635616,4.1857905
choline dicyanamide,4.129614384280102,4.587730158730158,3.9855099
triisobutylmethylphosphonium thiocyanate,4.195340950435009,4.32036582690997,3.6564329
1-butyl-3-ethylimidazolium bis(trifluoromethylsulfonyl)imide,4.484034739059653,4.495817230969653,4.7329345
1-butyl-3-methylimidazolium perfluorobutanesulfonate,4.423851096694572,4.400622781635616,4.366939
ethylammonium formate,4.227459887061047,4.27634126984127,3.7476337
1-ethyl-2-methylpyridinium methyl sulfate,4.1163742725603765,4.169028994299893,4.0038047
2-methyl-1-propylpyridinium bis(fluorosulfonyl)imide,4.2781767532310555,4.257674155590216,4.267619
"1,2-dimethyl-3-propylimidazolium diethyl phosphate",4.210991595984675,4.302172489237956,4.688869
1-heptyl-3-methylimidazolium bis(trifluoromethylsulfonyl)imide,4.513059438642355,4.495817230969653,4.5624146
1-allyl-3-methylimidazolium tricyanomethanide,4.1059046971288256,3.5473599383073067,4.0239077
1-butylpyridinium acetate,4.064812513725329,3.6826318681318684,2.7968085
diethylmethylsulfonium bis(pentafluoroethylsulfonyl)imide,4.419026130473466,4.862900429545591,3.9466703
1-allyl-3-methylimidazolium acetate,4.039068089007242,3.4489096459096458,3.1334417
1-hexyl-3-methylimidazolium bis(pentafluoroethylsulfonyl)imide,4.456783143158382,4.836881261710154,4.36562
1-ethyl-4-methylpyridinium formate,4.060417076895842,3.3579481074481072,2.6864107
1-heptyl-3-methylimidazolium bis(pentafluoroethylsulfonyl)imide,4.45805811971472,4.495817230969653,4.2993703
1-hexyl-3-methylimidazolium bromide,4.2074720270425345,4.544411123153059,3.4978082
1-ethyl-3-methylimidazolium tricyanomethanide,4.10733912603267,3.6381932716406404,4.0418506
1-ethyl-2-methylpyridinium dicyanamide,4.084920245828486,3.456398399845768,2.8883402
1-decyl-3-methylimidazolium triflate,4.2530973575886755,4.4450613781268435,4.172517
1-heptyl-3-methylimidazolium thiocyanate,4.150368961149033,4.238032612774549,3.3222945
1-(2-hydroxyethyl)-3-methylimidazolium acetate,4.064968760621057,4.46575310070047,3.9049094
trihexyltetradecylphosphonium dihydrogen phosphate,4.168074689824166,4.302172489237956,3.71528
octyltriethylammonium tosylate,4.306732231268107,4.1861052623471995,4.2982635
1-methyl-3-octylimidazolium dimethyl phosphate,4.208251020234446,4.1861052623471995,4.1631613
1-butyl-2-methylpyridinium thiocyanate,4.092860606888261,3.3579481074481072,3.628771
diethylmethylsulfonium acetate,4.075459267893499,3.884882173382173,3.30037
trihexyltetradecylphosphonium nitrate,4.129598960581727,4.28455555474486,3.6032906
1-ethyl-3-methylimidazolium hydrogensulfate,4.0535686407066285,3.7596493874202856,3.2633739
"1-butyl-3-methylimidazolium bis(2,4,4-trimethylpentyl)phosphinate",4.36280139421818,4.328994151236087,3.988693
1-(2-hydroxyethyl)-3-methylimidazolium dicyanamide,4.085995791648903,4.419230158730159,3.641865
