pair,SVM_predict,RF_predict,XGB_predict
tributylmethylammonium dibutylphosphate,0,0,0
1-methyl-3-propylimidazolium tricyanomethanide,1,1,1
1-hexyl-3-methylimidazolium diethyl phosphate,0,0,0
butyltriethylammonium acetate,0,0,0
ethylammonium bis(fluorosulfonyl)imide,1,1,1
1-propyl-4-methylpyridinium thiocyanate,1,1,1
1-butyl-2-methylpyridinium bis(fluorosulfonyl)imide,0,0,0
tributylmethylphosphonium diethyl phosphate,0,0,0
1-methyl-1-propylpiperidinium dibutylphosphate,0,0,0
trihexyltetradecylphosphonium methyl sulfate,0,0,0
1-methyl-3-pentylimidazolium thiocyanate,1,0,0
diethylmethylammonium hydrogensulfate,0,0,0
"1-ethyl-3-methylimidazolium bis(2,4,4-trimethylpentyl)phosphinate",0,0,0
1-ethylimidazolium ethyl sulfate,0,1,0
1-methylimidazolium ethyl sulfate,0,0,0
1-benzyl-3-methylimidazolium diethyl phosphate,0,0,0
"1,2-dimethyl-3-propylimidazolium tricyanomethanide",1,1,1
1-heptyl-3-methylimidazolium diethyl phosphate,0,0,0
"1,2-dimethylimidazolium thiocyanate",1,1,1
1-methyl-1-propylpiperidinium diethyl phosphate,0,0,0
butyltrimethylammonium bis(fluorosulfonyl)imide,1,1,0
1-propyl-4-methylpyridinium trifluoroacetate,0,0,0
"2-methyl-1-propylpyridinium bis(2,4,4-trimethylpentyl)phosphinate",0,0,0
1-ethyl-3-vinylimidazolium acetate,0,0,0
1-heptyl-3-methylimidazolium acetate,0,0,0
"1-butyl-2,3-dimethylimidazolium thiocyanate",1,0,0
butyltrimethylammonium decanoate,0,0,0
1-ethylimidazolium diethyl phosphate,0,0,0
1-methyl-3-octylimidazolium trifluoroacetate,0,0,0
1-propyl-2-methylpyridinium formate,0,1,0
1-ethyl-2-methylpyridinium dibutylphosphate,0,0,0
2-methyl-1-propylpyridinium bis(2-ethylhexyl)phosphate,0,0,0
diethylmethylammonium ethyl sulfate,0,1,1
"1,3-dimethylimidazolium tricyanomethanide",1,1,1
triethylsulfonium bis(pentafluoroethylsulfonyl)imide,1,1,1
"ethyltributylphosphonium bis(2,4,4-trimethylpentyl)phosphinate",0,0,0
1-(2-methoxyethyl)-3-methylimidazolium hydrogensulfate,0,0,0
trihexyltetradecylphosphonium dimethyl phosphate,0,0,0
1-methyl-3-propylimidazolium methanesulfonate,0,0,0
tributylmethylammonium bis(pentafluoroethylsulfonyl)imide,0,0,0
1-propyl-2-methylpyridinium dibutylphosphate,0,0,0
"1,3-dimethylimidazolium formate",0,0,0
1-methyl-3-pentylimidazolium dibutylphosphate,0,0,0
1-hexyl-3-methylimidazolium methanesulfonate,0,0,0
1-ethyl-3-vinylimidazolium dihydrogen phosphate,0,0,0
1-propylpyridinium methyl sulfate,0,0,0
1-methyl-3-propylimidazolium hydrogensulfate,0,0,0
tributylmethylammonium dimethyl phosphate,0,0,0
tributylmethylammonium ethyl sulfate,0,0,0
diethylmethylsulfonium acetate,0,0,0
"tributylmethylphosphonium bis(2,4,4-trimethylpentyl)phosphinate",0,0,0
"1,2-dimethylimidazolium decanoate",0,0,0
"1-butyl-2,3-dimethylimidazolium diethyl phosphate",0,0,0
n-ethyl-n-methyl-n-propylammonium formate,0,0,0
ethyltributylphosphonium dimethyl phosphate,0,0,0
dimethylammonium dicyanamide,1,1,1
1-ethyl-3-methylpyridinium acetate,0,0,0
2-methyl-1-propylpyridinium methyl sulfate,0,0,0
1-ethyl-2-methylpyridinium methyl sulfate,0,0,0
1-ethyl-3-methylpyridinium tricyanomethanide,1,1,1
1-hexylpyridinium bis(pentafluoroethylsulfonyl)imide,0,0,0
1-butyl-2-methylpyridinium dibutylphosphate,0,0,0
1-ethyl-3-methylpyridinium ethyl sulfate,0,1,0
1-methyl-3-propylimidazolium ethyl sulfate,0,0,0
1-benzyl-3-methylimidazolium decanoate,0,0,0
1-(2-hydroxyethyl)-3-methylimidazolium nitrate,1,1,0
1-hexyl-3-methylimidazolium acetate,0,0,0
1-ethylimidazolium bis(2-ethylhexyl)phosphate,0,0,0
1-decyl-3-methylimidazolium tricyanomethanide,0,0,0
1-propylpyridinium ethyl sulfate,0,0,0
1-hexyl-3-methylimidazolium bromide,0,0,0
1-heptyl-3-methylimidazolium decanoate,0,0,0
1-methyl-3-propylimidazolium bis(fluorosulfonyl)imide,1,0,1
1-butyl-3-ethylimidazolium bis(pentafluoroethylsulfonyl)imide,0,0,0
1-butyl-3-methylimidazolium perfluorobutanesulfonate,0,0,0
tributylmethylammonium thiocyanate,0,0,0
diethylmethylammonium bis(fluorosulfonyl)imide,1,1,1
butyltriethylammonium tosylate,0,0,0
1-butyl-3-methylimidazolium dihydrogen phosphate,0,0,0
ethyltributylphosphonium thiocyanate,0,0,0
ethyltributylphosphonium bis(pentafluoroethylsulfonyl)imide,0,0,0
1-ethyl-3-vinylimidazolium decanoate,0,0,0
butyltriethylammonium bis(fluorosulfonyl)imide,0,0,0
n-ethyl-n-methyl-n-propylammonium methanesulfonate,0,0,0
