anion,anion_sml,Asphericity_anion,Eccentricity_anion,InertialShapeFactor_anion,NPR1_anion,NPR2_anion,PMI1_anion,PMI2_anion,PMI3_anion,RadiusOfGyration_anion,SpherocityIndex_anion,ExactMolWt_anion,FpDensityMorgan1_anion,FpDensityMorgan2_anion,HeavyAtomMolWt_anion,MaxAbsPartialCharge_anion,MaxPartialCharge_anion,MinPartialCharge_anion,NumRadicalElectrons_anion,NumValenceElectrons_anion,volume_anion,cation,cation_sml,Asphericity_cation,Eccentricity_cation,InertialShapeFactor_cation,NPR1_cation,NPR2_cation,PMI1_cation,PMI2_cation,PMI3_cation,RadiusOfGyration_cation,SpherocityIndex_cation,ExactMolWt_cation,FpDensityMorgan1_cation,FpDensityMorgan2_cation,HeavyAtomMolWt_cation,MaxAbsPartialCharge_cation,MaxPartialCharge_cation,MinPartialCharge_cation,NumRadicalElectrons_cation,NumValenceElectrons_cation,volume_cation,pair,pair_sml_x,Asphericity_pair,Eccentricity_pair,InertialShapeFactor_pair,NPR1_pair,NPR2_pair,PMI1_pair,PMI2_pair,PMI3_pair,RadiusOfGyration_pair,SpherocityIndex_pair,ExactMolWt_pair,FpDensityMorgan1_pair,FpDensityMorgan2_pair,HeavyAtomMolWt_pair,MaxAbsPartialCharge_pair,MaxPartialCharge_pair,MinPartialCharge_pair,NumRadicalElectrons_pair,NumValenceElectrons_pair,volume_pair,name_anion,smiles_form_anion,energy_anion,HOMO_anion,LUMO_anion,dipole_x_anion,dipole_y_anion,dipole_z_anion,dipole_total_anion,name_cation,smiles_form_cation,energy_cation,HOMO_cation,LUMO_cation,dipole_x_cation,dipole_y_cation,dipole_z_cation,dipole_total_cation,V_al_cation,V_al_anion,V_al,V_cl_cation,V_cl_anion,V_cl,ECW_computed,cation_type,anion_type,label,conductivity,ECW,density,melting_point,viscosity,formula,T_conductivity,T_density,T_viscosity,conductivity_norm,viscosity_norm,density_norm,state,SVM_predict_x,RF_predict_x,XGB_predict_x,pair_sml_y,gnn_predict,SVM_predict_y,RF_predict_y,XGB_predict_y,SVM_predict,RF_predict,XGB_predict,predicted_state,predicted_conductivity,predicted_conductivity_category
bis(trifluoromethylsulfonyl)imide,O=S([N-]S(=O)(C(F)(F)F)=O)(C(F)(F)F)=O,0.388040311,0.959745064,0.001936486,0.280872589,0.94511308,488.0557659,1642.26737,1737.64114,2.627442626,0.314798833,279.9178424,0.666666667,0.866666667,280.147,0.4802902,0.4802902,-0.420674932,0,92,157.376,1-decyl-3-methylimidazolium,CN1C=C[N+](CCCCCCCCCC)=C1,0.563857691,0.984505403,0.001310979,0.175354244,0.882508238,673.1673137,3387.86041,3838.899473,4.205043715,0.152037244,223.2168753,1.1875,1.9375,196.168,0.243028826,0.243028826,-0.239533996,0,92,250.296,1-decyl-3-methylimidazolium bis(trifluoromethylsulfonyl)imide,CN1C=C[N+](CCCCCCCCCC)=C1.O=S([N-]S(=O)(C(F)(F)F)=O)(C(F)(F)F)=O,0.567999646,0.984294558,0.001064694,0.176533913,0.969918658,910.9831382,5005.154699,5160.386038,3.316451416,0.229561455,503.1347177,0.935483871,1.419354839,476.315,0.4802902,0.4802902,-0.420674932,0,184,299.328,bis(trifluoromethylsulfonyl)imide,O=S([N-]S(=O)(C(F)(F)F)=O)(C(F)(F)F)=O,-1821.517869,-0.286547135,0.172652479,-0.095325609,0.364114522,2.142514102,2.175323662,1-decyl-3-methylimidazolium,CN1C=C[N+](CCCCCCCCCC)=C1,-654.744987,-0.506862,-0.061227,-6.515509,-0.416154,-0.301954,6.535764,13.7866464,7.794082072,7.794082072,1.6653744,-4.696147429,1.6653744,6.128707672,imidazolium,imid,1-Decyl-3-methylimidazolium bis(trifluoromethylsulfonyl)imide,0.76,4.6,1.27,<RT,113,C16H27F6N3O4S2,24,30,25,0.791666667,113,1.058333333,liquid,,,,,,,,,,,,,,
triflate,C(F)(F)(F)S(=O)(=O)[O-],0.098068468,0.809741977,0.004902674,0.586786104,0.974406316,198.7499598,330.040563,338.7093841,1.705791915,0.666972476,148.9525731,1.25,1.375,149.069,0.741154773,0.485234805,-0.741154773,0,50,86.688,1-decyl-3-methylimidazolium,CN1C=C[N+](CCCCCCCCCC)=C1,0.563857691,0.984505403,0.001310979,0.175354244,0.882508238,673.1673137,3387.86041,3838.899473,4.205043715,0.152037244,223.2168753,1.1875,1.9375,196.168,0.243028826,0.243028826,-0.239533996,0,92,250.296,1-decyl-3-methylimidazolium triflate,CN1C=C[N+](CCCCCCCCCC)=C1.C(F)(F)(F)S(=O)(=O)[O-],0.57972453,0.985348628,0.001541063,0.170552284,0.970462993,629.7361374,3583.274299,3692.334818,3.257689475,0.232452218,372.1694484,1.208333333,1.75,345.237,0.741154773,0.485234805,-0.741154773,0,142,275.176,triflate,C(F)(F)(F)S(=O)(=O)[O-],-958.4631671,-0.26754993,0.195673969,1.77234156,-0.21203846,-0.036153192,1.785346455,1-decyl-3-methylimidazolium,CN1C=C[N+](CCCCCCCCCC)=C1,-654.744987,-0.506862,-0.061227,-6.515509,-0.416154,-0.301954,6.535764,13.7866464,7.277358096,7.277358096,1.6653744,-5.322331957,1.6653744,5.611983696,imidazolium,triflate,1-Decyl-3-methylimidazolium triflate,0.41,,1.15,<RT,298,C15H27F3N2O3S,24,26,25,0.427083333,298,1.105769231,liquid,,,,,,,,,,,,,,
thiocyanate,[S-]C#N,0.999999977,1,0,7.55E-09,0.999999992,6.91E-07,91.47561526,91.47561595,1.254933389,0,57.97569358,2,2,58.085,0.695797763,-0.079746475,-0.695797763,0,16,45.856,1-decyl-3-methylimidazolium,CN1C=C[N+](CCCCCCCCCC)=C1,0.563857691,0.984505403,0.001310979,0.175354244,0.882508238,673.1673137,3387.86041,3838.899473,4.205043715,0.152037244,223.2168753,1.1875,1.9375,196.168,0.243028826,0.243028826,-0.239533996,0,92,250.296,1-decyl-3-methylimidazolium thiocyanate,CN1C=C[N+](CCCCCCCCCC)=C1.[S-]C#N,0.493347913,0.97718529,0.001276849,0.21238858,0.869173711,680.71776,2785.752326,3205.058198,3.442566854,0.200319335,281.1925689,1.315789474,1.947368421,254.253,0.695797763,0.243028826,-0.695797763,0,108,262.328,thiocyanate,[S-]C#N,-489.9281831,-0.14138979,0.199467866,0,-4.66E-127,0.464035542,0.464035542,1-decyl-3-methylimidazolium,CN1C=C[N+](CCCCCCCCCC)=C1,-654.744987,-0.506862,-0.061227,-6.515509,-0.416154,-0.301954,6.535764,13.7866464,3.845802288,3.845802288,1.6653744,-5.425525955,1.6653744,2.180427888,imidazolium,thiocyanate,,,,,unknown,,,,,,,,,unknown,0,0,0,CN1C=C[N+](CCCCCCCCCC)=C1.[S-]C#N,0,1.104999484,1.13157558,0.17259046,0,0,0,0,0.803055175,0
acetate,O=C(C)[O-],0.235962702,0.889937862,0.013446048,0.456081792,0.57860107,43.03131019,54.59100221,94.34998482,1.275018239,0.331387187,59.01385292,2.5,2.75,56.02,0.550477028,0.038278599,-0.550477028,0,24,54.992,1-decyl-3-methylimidazolium,CN1C=C[N+](CCCCCCCCCC)=C1,0.563857691,0.984505403,0.001310979,0.175354244,0.882508238,673.1673137,3387.86041,3838.899473,4.205043715,0.152037244,223.2168753,1.1875,1.9375,196.168,0.243028826,0.243028826,-0.239533996,0,92,250.296,1-decyl-3-methylimidazolium acetate,CN1C=C[N+](CCCCCCCCCC)=C1.O=C(C)[O-],0.782695103,0.996869659,0.00278873,0.079062528,0.972765212,348.8201525,4291.794318,4411.95292,4.003289617,0.138809987,282.2307282,1.3,1.95,252.188,0.550477028,0.243028826,-0.550477028,0,116,260.248,acetate,O=C(C)[O-],-227.3075369,-0.187561847,0.197690311,-1.517659155,-0.049233405,-0.110204259,1.522451384,1-decyl-3-methylimidazolium,CN1C=C[N+](CCCCCCCCCC)=C1,-654.744987,-0.506862,-0.061227,-6.515509,-0.416154,-0.301954,6.535764,13.7866464,5.101682238,5.101682238,1.6653744,-5.377176459,1.6653744,3.436307838,imidazolium,acetate,,,,,unknown,,,,,,,,,unknown,0,0,0,CN1C=C[N+](CCCCCCCCCC)=C1.O=C(C)[O-],0,-1.924270087,1.297167593,0.5025122,0,0,0,0,-0.041530098,0
ethyl sulfate,[O-]S(=O)(OCC)=O,0.265624239,0.926246174,0.007636703,0.376919122,0.949922264,124.3890604,313.4888386,330.0152556,1.751714621,0.354403032,124.9914032,2.142857143,2.714285714,120.085,0.725519396,0.217124011,-0.725519396,0,44,95.448,1-decyl-3-methylimidazolium,CN1C=C[N+](CCCCCCCCCC)=C1,0.563857691,0.984505403,0.001310979,0.175354244,0.882508238,673.1673137,3387.86041,3838.899473,4.205043715,0.152037244,223.2168753,1.1875,1.9375,196.168,0.243028826,0.243028826,-0.239533996,0,92,250.296,1-decyl-3-methylimidazolium ethyl sulfate,CN1C=C[N+](CCCCCCCCCC)=C1.[O-]S(=O)(OCC)=O,0.775332223,0.996626979,0.002404866,0.082065007,0.973944211,404.9890279,4806.393543,4934.978299,3.815339207,0.111151272,348.2082785,1.217391304,1.913043478,316.253,0.725519396,0.243028826,-0.725519396,0,136,277.48,ethyl sulfate,[O-]S(=O)(OCC)=O,-775.7228699,-0.244251223,0.164500983,2.41072609,0.085358376,-0.460251525,2.455751983,1-decyl-3-methylimidazolium,CN1C=C[N+](CCCCCCCCCC)=C1,-654.744987,-0.506862,-0.061227,-6.515509,-0.416154,-0.301954,6.535764,13.7866464,6.643633266,6.643633266,1.6653744,-4.474426738,1.6653744,4.978258866,imidazolium,sulfate,,,,,unknown,,,,,,,,,unknown,0,0,0,CN1C=C[N+](CCCCCCCCCC)=C1.[O-]S(=O)(OCC)=O,0,-1.625484821,0.754227315,0.5357603,0,0,0,0,-0.111832402,0
hydrogensulfate,[O-]S(=O)(O)=O,0.0056315,0.469605964,0.008651208,0.882876117,0.914453068,105.7023568,109.4829077,119.7250155,1.313422614,0.635639772,96.96010309,2,2.2,96.063,0.725666618,0.232481564,-0.725666618,0,32,62.568,1-decyl-3-methylimidazolium,CN1C=C[N+](CCCCCCCCCC)=C1,0.563857691,0.984505403,0.001310979,0.175354244,0.882508238,673.1673137,3387.86041,3838.899473,4.205043715,0.152037244,223.2168753,1.1875,1.9375,196.168,0.243028826,0.243028826,-0.239533996,0,92,250.296,1-decyl-3-methylimidazolium hydrogensulfate,CN1C=C[N+](CCCCCCCCCC)=C1.[O-]S(=O)(O)=O,0.631078307,0.989554257,0.001670428,0.144160924,0.947100471,566.9807109,3724.918537,3932.97084,3.582333378,0.17225159,320.1769784,1.333333333,1.952380952,292.231,0.725666618,0.243028826,-0.725666618,0,124,270.528,hydrogensulfate,[O-]S(=O)(O)=O,-697.6444063,-0.245266174,0.211449714,1.152601973,0.121626795,0.218566002,1.179430152,1-decyl-3-methylimidazolium,CN1C=C[N+](CCCCCCCCCC)=C1,-654.744987,-0.506862,-0.061227,-6.515509,-0.416154,-0.301954,6.535764,13.7866464,6.671239933,6.671239933,1.6653744,-5.751432221,1.6653744,5.005865533,imidazolium,sulfate,,,,,unknown,,,,,,,,,unknown,0,0,0,CN1C=C[N+](CCCCCCCCCC)=C1.[O-]S(=O)(O)=O,0,-3.356591236,0.457714405,0.36508122,0,0,0,0,-0.844598537,0
methanesulfonate,[O-]S(=O)(C)=O,0.009965509,0.540632317,0.00895973,0.841258996,0.939901485,104.9028846,117.2033553,124.6974893,1.35032686,0.607359982,94.98083854,2,2.2,92.075,0.748156135,0.091583335,-0.748156135,0,32,70.32,1-decyl-3-methylimidazolium,CN1C=C[N+](CCCCCCCCCC)=C1,0.563857691,0.984505403,0.001310979,0.175354244,0.882508238,673.1673137,3387.86041,3838.899473,4.205043715,0.152037244,223.2168753,1.1875,1.9375,196.168,0.243028826,0.243028826,-0.239533996,0,92,250.296,1-decyl-3-methylimidazolium methanesulfonate,CN1C=C[N+](CCCCCCCCCC)=C1.[O-]S(=O)(C)=O,0.450214456,0.971429079,0.001085904,0.237330032,0.880907173,811.2201352,3011.03754,3418.109914,3.371492378,0.221897297,318.1977138,1.238095238,1.857142857,288.243,0.748156135,0.243028826,-0.748156135,0,124,261.784,methanesulfonate,[O-]S(=O)(C)=O,-661.7955126,-0.229049986,0.182782751,-1.677354074,-0.028686162,0.042761527,1.678144253,1-decyl-3-methylimidazolium,CN1C=C[N+](CCCCCCCCCC)=C1,-654.744987,-0.506862,-0.061227,-6.515509,-0.416154,-0.301954,6.535764,13.7866464,6.230159619,6.230159619,1.6653744,-4.971690827,1.6653744,4.564785219,imidazolium,sulfonate,,,,,unknown,,,,,,,,,unknown,0,0,0,CN1C=C[N+](CCCCCCCCCC)=C1.[O-]S(=O)(C)=O,0,-4.209420727,0.272900066,0.33660328,0,0,0,0,-1.19997246,0
tosylate,[O-]S(=O)(C1=CC=C(C)C=C1)=O,0.528230928,0.980823808,0.004792046,0.194896532,0.925298583,193.0905135,916.7242549,990.7334476,2.476870237,0.114866063,171.0121387,1.454545455,2,164.141,0.744035769,0.123924234,-0.744035769,0,60,141.672,1-decyl-3-methylimidazolium,CN1C=C[N+](CCCCCCCCCC)=C1,0.563857691,0.984505403,0.001310979,0.175354244,0.882508238,673.1673137,3387.86041,3838.899473,4.205043715,0.152037244,223.2168753,1.1875,1.9375,196.168,0.243028826,0.243028826,-0.239533996,0,92,250.296,1-decyl-3-methylimidazolium tosylate,CN1C=C[N+](CCCCCCCCCC)=C1.[O-]S(=O)(C1=CC=C(C)C=C1)=O,0.816272042,0.997822287,0.002419142,0.065959705,0.981139063,405.5731201,6032.829138,6148.801293,3.993756159,0.104916603,394.2290139,1.111111111,1.777777778,360.309,0.744035769,0.243028826,-0.744035769,0,152,284.096,tosylate,[O-]S(=O)(C1=CC=C(C)C=C1)=O,-891.3875878,-0.209583212,0.137919287,-4.293266667,0.354061967,0.413394512,4.327631405,1-decyl-3-methylimidazolium,CN1C=C[N+](CCCCCCCCCC)=C1,-654.744987,-0.506862,-0.061227,-6.515509,-0.416154,-0.301954,6.535764,13.7866464,5.700663366,5.700663366,1.6653744,-3.751404606,1.6653744,4.035288966,imidazolium,tosylate,,,,,unknown,,,,,,,,,unknown,0,0,0,CN1C=C[N+](CCCCCCCCCC)=C1.[O-]S(=O)(C1=CC=C(C)C=C1)=O,0,-0.356171788,1.028092196,0.43327388,0,0,0,0,0.368398096,0
perfluorobutanesulfonate,C(C(C(F)(F)S(=O)(=O)[O-])(F)F)(C(F)(F)F)(F)F,0.237274649,0.91611353,0.001456253,0.400918944,0.932310073,640.211802,1488.769542,1596.860942,2.495722472,0.42781819,298.9429924,0.705882353,1,299.09,0.743179529,0.45969139,-0.743179529,0,104,166.888,1-decyl-3-methylimidazolium,CN1C=C[N+](CCCCCCCCCC)=C1,0.563857691,0.984505403,0.001310979,0.175354244,0.882508238,673.1673137,3387.86041,3838.899473,4.205043715,0.152037244,223.2168753,1.1875,1.9375,196.168,0.243028826,0.243028826,-0.239533996,0,92,250.296,1-decyl-3-methylimidazolium perfluorobutanesulfonate,CN1C=C[N+](CCCCCCCCCC)=C1.C(C(C(F)(F)S(=O)(=O)[O-])(F)F)(C(F)(F)F)(F)F,0.652195685,0.990775508,0.001161668,0.135513442,0.974312391,838.7186749,6030.206186,6189.191721,3.535028596,0.131090908,522.1598677,0.939393939,1.454545455,495.258,0.743179529,0.45969139,-0.743179529,0,196,312.192,perfluorobutanesulfonate,C(C(C(F)(F)S(=O)(=O)[O-])(F)F)(C(F)(F)F)(F)F,-1668.885656,-0.2816,0.169254,-3.498149,-0.38786,-0.473267,3.551263,1-decyl-3-methylimidazolium,CN1C=C[N+](CCCCCCCCCC)=C1,-654.744987,-0.506862,-0.061227,-6.515509,-0.416154,-0.301954,6.535764,13.7866464,7.65952,7.65952,1.6653744,-4.6037088,1.6653744,5.9941456,imidazolium,sulfonate,,,,,unknown,,,,,,,,,unknown,0,0,0,,1,,,,,,,1,,
formate,O=C([H])[O-],0.643071784,0.990428365,0.13210625,0.138027725,0.861972275,6.52484097,40.74711812,47.27195909,1.024739615,3.20E-12,44.99820285,2.666666667,2.666666667,44.009,0.553857225,0.080241419,-0.553857225,0,18,38.264,1-decyl-3-methylimidazolium,CN1C=C[N+](CCCCCCCCCC)=C1,0.563857691,0.984505403,0.001310979,0.175354244,0.882508238,673.1673137,3387.86041,3838.899473,4.205043715,0.152037244,223.2168753,1.1875,1.9375,196.168,0.243028826,0.243028826,-0.239533996,0,92,250.296,1-decyl-3-methylimidazolium formate,CN1C=C[N+](CCCCCCCCCC)=C1.O=C([H])[O-],0.658846172,0.991407984,0.001798495,0.130806,0.929242074,516.6775693,3670.46263,3949.953121,3.893387101,0.157466366,268.2150781,1.368421053,2,240.177,0.553857225,0.243028826,-0.553857225,0,110,256.856,formate,O=C([H])[O-],-188.2571256,-0.185790782,0.228998071,0.676251353,0.1062445,0,0.684546409,1-decyl-3-methylimidazolium,CN1C=C[N+](CCCCCCCCCC)=C1,-654.744987,-0.506862,-0.061227,-6.515509,-0.416154,-0.301954,6.535764,13.7866464,5.05350927,5.05350927,1.6653744,-6.228747531,1.6653744,3.38813487,imidazolium,formate,,,,,unknown,,,,,,,,,unknown,0,0,0,CN1C=C[N+](CCCCCCCCCC)=C1.O=C([H])[O-],0,-2.442397636,1.000654683,0.3873683,0,0,0,0,-0.351458218,0
