anion,anion_sml,Asphericity_anion,Eccentricity_anion,InertialShapeFactor_anion,NPR1_anion,NPR2_anion,PMI1_anion,PMI2_anion,PMI3_anion,RadiusOfGyration_anion,SpherocityIndex_anion,ExactMolWt_anion,FpDensityMorgan1_anion,FpDensityMorgan2_anion,HeavyAtomMolWt_anion,MaxAbsPartialCharge_anion,MaxPartialCharge_anion,MinPartialCharge_anion,NumRadicalElectrons_anion,NumValenceElectrons_anion,volume_anion,cation,cation_sml,Asphericity_cation,Eccentricity_cation,InertialShapeFactor_cation,NPR1_cation,NPR2_cation,PMI1_cation,PMI2_cation,PMI3_cation,RadiusOfGyration_cation,SpherocityIndex_cation,ExactMolWt_cation,FpDensityMorgan1_cation,FpDensityMorgan2_cation,HeavyAtomMolWt_cation,MaxAbsPartialCharge_cation,MaxPartialCharge_cation,MinPartialCharge_cation,NumRadicalElectrons_cation,NumValenceElectrons_cation,volume_cation,pair,pair_sml_x,Asphericity_pair,Eccentricity_pair,InertialShapeFactor_pair,NPR1_pair,NPR2_pair,PMI1_pair,PMI2_pair,PMI3_pair,RadiusOfGyration_pair,SpherocityIndex_pair,ExactMolWt_pair,FpDensityMorgan1_pair,FpDensityMorgan2_pair,HeavyAtomMolWt_pair,MaxAbsPartialCharge_pair,MaxPartialCharge_pair,MinPartialCharge_pair,NumRadicalElectrons_pair,NumValenceElectrons_pair,volume_pair,name_anion,smiles_form_anion,energy_anion,HOMO_anion,LUMO_anion,dipole_x_anion,dipole_y_anion,dipole_z_anion,dipole_total_anion,name_cation,smiles_form_cation,energy_cation,HOMO_cation,LUMO_cation,dipole_x_cation,dipole_y_cation,dipole_z_cation,dipole_total_cation,V_al_cation,V_al_anion,V_al,V_cl_cation,V_cl_anion,V_cl,ECW_computed,cation_type,anion_type,label,conductivity,ECW,density,melting_point,viscosity,formula,T_conductivity,T_density,T_viscosity,conductivity_norm,viscosity_norm,density_norm,state,SVM_predict_x,RF_predict_x,XGB_predict_x,pair_sml_y,gnn_predict,SVM_predict_y,RF_predict_y,XGB_predict_y,SVM_predict,RF_predict,XGB_predict,predicted_state,predicted_conductivity,predicted_conductivity_category
acetate,O=C(C)[O-],0.2359627020184542,0.8899378622538983,0.0134460481893538,0.4560817923650993,0.5786010704120381,43.03131018600374,54.591002209803335,94.34998481929448,1.2750182388933566,0.3313871866033073,59.01385291591001,2.5,2.75,56.02,0.5504770280073037,0.0382785989211398,-0.5504770280073037,0,24,54.99200000000001,1-butyl-1-methylpiperidinium,C[N+]1(CCCC)CCCCC1,0.3688326195391857,0.9539327271584768,0.0042992653244315,0.3000205860536757,0.9918741757555573,230.7078305028068,762.7247924226922,768.9733345882192,2.374478352368535,0.4892429118521065,156.17467612408998,1.4545454545454546,2.272727272727273,134.11699999999996,0.3260439466233752,0.0924080710966681,-0.3260439466233752,0,66,179.45600000000005,1-butyl-1-methylpiperidinium acetate,C[N+]1(CCCC)CCCCC1.O=C(C)[O-],0.5006172812124159,0.9777901044845132,0.0038587927403631,0.2095865252638269,0.9165204772310296,237.51482365045743,1038.6507398199244,1133.2542650414882,2.365276478942175,0.3216371934083382,215.18852904,1.5333333333333334,2.2,190.137,0.5504770280073037,0.0924080710966681,-0.5504770280073037,0,90,182.76000000000005,acetate,O=C(C)[O-],-227.3075369,-0.187561847,0.197690311,-1.517659155,-0.049233405,-0.110204259,1.522451384,1-butyl-1-methylpiperidinium,C[N+]1(CCCC)CCCCC1,-445.842325,-0.593124,-0.055555,-0.740863,0.526591,-0.131702,0.918434,16.132972799999997,5.1016822384,5.1016822384,1.511096,-5.3771764592,1.511096,3.5905862383999994,piperidinium,acetate,,,,,unknown,,,,,,,,,unknown,0.0,0.0,0.0,,1.0,,,,,,,1.0,,
bis(fluorosulfonyl)imide,[N-](S(=O)(=O)F)S(=O)(=O)F,0.342076194336941,0.9491169307721,0.0045427358824732,0.3149238824251803,0.9555579704813956,210.3485642139391,638.2502513498666,667.9346215157682,2.051702351926115,0.4222861386598058,179.92422949991,0.8888888888888888,1.1111111111111112,180.13299999999998,0.3793121990657639,0.2412546489997485,-0.3793121990657639,0,56,103.69600000000004,1-butyl-1-methylpiperidinium,C[N+]1(CCCC)CCCCC1,0.3688326195391857,0.9539327271584768,0.0042992653244315,0.3000205860536757,0.9918741757555573,230.7078305028068,762.7247924226922,768.9733345882192,2.374478352368535,0.4892429118521065,156.17467612408998,1.4545454545454546,2.272727272727273,134.11699999999996,0.3260439466233752,0.0924080710966681,-0.3260439466233752,0,66,179.45600000000005,1-butyl-1-methylpiperidinium bis(fluorosulfonyl)imide,C[N+]1(CCCC)CCCCC1.[N-](S(=O)(=O)F)S(=O)(=O)F,0.3492179571721185,0.95019782756513,0.0021471553926583,0.3116473784431815,0.971817566750374,452.6070027689832,1411.3753766272264,1452.3048614429497,2.220068098224839,0.4514024965589557,336.09890562400057,1.2,1.75,314.25,0.3793121990657639,0.2412546489997485,-0.3793121990657639,0,122,191.43200000000004,bis(fluorosulfonyl)imide,[N-](S(=O)(=O)F)S(=O)(=O)F,-1347.908249,-0.303547,0.195733,-0.064455,0.646874,-0.175063,0.673236,1-butyl-1-methylpiperidinium,C[N+]1(CCCC)CCCCC1,-445.842325,-0.593124,-0.055555,-0.740863,0.526591,-0.131702,0.918434,16.132972799999997,8.2564784,8.2564784,1.511096,-5.3239376,1.511096,6.7453824000000004,piperidinium,imid,,,,,unknown,,,,,,,,,unknown,0.0,0.0,0.0,C[N+]1(CCCC)CCCCC1.[N-](S(=O)(=O)F)S(=O)(=O)F,0.0,4.164252861735843,2.307150508971705,0.84448606,0.0,0.0,0.0,0.0,2.4386298102358492,0.0
chloride,[Cl-],0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,34.96940125991,1.0,1.0,35.453,1.0,-1.0,-1.0,0,8,23.75200000000001,1-butyl-1-methylpiperidinium,C[N+]1(CCCC)CCCCC1,0.3688326195391857,0.9539327271584768,0.0042992653244315,0.3000205860536757,0.9918741757555573,230.7078305028068,762.7247924226922,768.9733345882192,2.374478352368535,0.4892429118521065,156.17467612408998,1.4545454545454546,2.272727272727273,134.11699999999996,0.3260439466233752,0.0924080710966681,-0.3260439466233752,0,66,179.45600000000005,1-butyl-1-methylpiperidinium chloride,C[N+]1(CCCC)CCCCC1.[Cl-],0.4622056053080172,0.9721656025480008,0.0044749155148815,0.2342947742107847,0.9548021577230116,213.36763890798943,869.5195302748465,910.6803155414468,2.280012964805221,0.3898725226542804,191.144077384,1.4166666666666667,2.1666666666666665,169.56999999999996,1.0,0.0924080710966681,-1.0,0,74,179.63200000000003,chloride,[Cl-],-459.565427,-0.150075606,0.299887679,0.0,0.0,0.0,0.0,1-butyl-1-methylpiperidinium,C[N+]1(CCCC)CCCCC1,-445.842325,-0.593124,-0.055555,-0.740863,0.526591,-0.131702,0.918434,16.132972799999997,4.0820564832,4.0820564832,1.511096,-8.1569448688,1.511096,2.5709604831999995,piperidinium,chloride,1-Butyl-1-methylpiperidinium chloride,,,,>230,,C10H22ClN,25.0,25.0,25.0,,,,solid,,,,,,,,,,,,,,
dicyanamide,N#C[N-]C#N,0.789682760214188,0.9971184395969224,0.0630939959546395,0.0758605128891081,0.9241483741946968,14.647168248134085,178.4348168441237,193.08026917172447,1.7098441084193592,1.4213726043144093e-05,66.00977057991,1.2,1.6,66.043,0.3851818840211178,0.0154984735462093,-0.3851818840211178,0,24,58.59200000000001,1-butyl-1-methylpiperidinium,C[N+]1(CCCC)CCCCC1,0.3688326195391857,0.9539327271584768,0.0042992653244315,0.3000205860536757,0.9918741757555573,230.7078305028068,762.7247924226922,768.9733345882192,2.374478352368535,0.4892429118521065,156.17467612408998,1.4545454545454546,2.272727272727273,134.11699999999996,0.3260439466233752,0.0924080710966681,-0.3260439466233752,0,66,179.45600000000005,1-butyl-1-methylpiperidinium dicyanamide,C[N+]1(CCCC)CCCCC1.N#C[N-]C#N,0.5102576120668798,0.9785193712682936,0.0041537487554105,0.2061548933513429,0.9503444133969848,228.79198270215585,1054.6981401040655,1109.8062189202235,2.31994851287697,0.3652450507853716,222.184446704,1.375,2.0625,200.16,0.3851818840211178,0.0924080710966681,-0.3851818840211178,0,90,181.32800000000003,dicyanamide,N#C[N-]C#N,-239.170509,-0.177206058,0.195677866,0.053667644,-0.31268249,-0.219290029,0.38566653,1-butyl-1-methylpiperidinium,C[N+]1(CCCC)CCCCC1,-445.842325,-0.593124,-0.055555,-0.740863,0.526591,-0.131702,0.918434,16.132972799999997,4.8200047775999995,4.8200047775999995,1.511096,-5.3224379552,1.511096,3.3089087775999992,piperidinium,dicyanamide,,,,,unknown,,,,,,,,,unknown,0.0,0.0,0.0,C[N+]1(CCCC)CCCCC1.N#C[N-]C#N,0.0,7.5009005584988895,3.136220416379112,1.3612329,1.0,1.0,1.0,0.0,3.9994512916260008,3.0
dihydrogen phosphate,[O-]P(O)(O)=O,0.0031867923129846,0.4182301037742367,0.0081030071625083,0.9083411145032416,0.9412050004380836,116.15502511128564,120.35752727161515,127.8759964254278,1.3706066618297943,0.5690022674972517,96.96961875391,2.0,2.4,94.97,0.7563898629138743,0.2621199175773143,-0.7563898629138743,0,32,67.68800000000002,1-butyl-1-methylpiperidinium,C[N+]1(CCCC)CCCCC1,0.3688326195391857,0.9539327271584768,0.0042992653244315,0.3000205860536757,0.9918741757555573,230.7078305028068,762.7247924226922,768.9733345882192,2.374478352368535,0.4892429118521065,156.17467612408998,1.4545454545454546,2.272727272727273,134.11699999999996,0.3260439466233752,0.0924080710966681,-0.3260439466233752,0,66,179.45600000000005,1-butyl-1-methylpiperidinium dihydrogen phosphate,C[N+]1(CCCC)CCCCC1.[O-]P(O)(O)=O,0.275563984779226,0.9326799585852316,0.0023285681197804,0.3607049969898547,0.8741541172296303,375.4041420579276,909.7769067341876,1040.7511545189,2.142811342716296,0.3535938397203855,253.144294878,1.5625,2.25,229.087,0.7563898629138743,0.2621199175773143,-0.7563898629138743,0,98,189.58400000000003,dihydrogen phosphate,[O-]P(O)(O)=O,-641.6052552,-0.240862929,0.190874695,0.195287505,-1.581528603,0.623451987,1.711158179,1-butyl-1-methylpiperidinium,C[N+]1(CCCC)CCCCC1,-445.842325,-0.593124,-0.055555,-0.740863,0.526591,-0.131702,0.918434,16.132972799999997,6.5514716688,6.5514716688,1.511096,-5.191791704,1.511096,5.040375668799999,piperidinium,phosph,,,,,unknown,,,,,,,,,unknown,1.0,1.0,1.0,,1.0,,,,,,,4.0,,
ethyl sulfate,[O-]S(=O)(OCC)=O,0.2656242389904987,0.9262461742641064,0.0076367026189096,0.3769191221749127,0.9499222636274508,124.38906044020808,313.4888386188618,330.01525558707056,1.7517146212982562,0.3544030315811464,124.99140321991,2.142857142857143,2.7142857142857144,120.08499999999998,0.7255193961858338,0.2171240114295389,-0.7255193961858338,0,44,95.44800000000002,1-butyl-1-methylpiperidinium,C[N+]1(CCCC)CCCCC1,0.3688326195391857,0.9539327271584768,0.0042992653244315,0.3000205860536757,0.9918741757555573,230.7078305028068,762.7247924226922,768.9733345882192,2.374478352368535,0.4892429118521065,156.17467612408998,1.4545454545454546,2.272727272727273,134.11699999999996,0.3260439466233752,0.0924080710966681,-0.3260439466233752,0,66,179.45600000000005,1-butyl-1-methylpiperidinium ethyl sulfate,C[N+]1(CCCC)CCCCC1.[O-]S(=O)(OCC)=O,0.4737203081125737,0.97371553680155,0.0029454026275252,0.227767542444636,0.9587939464049486,325.5222010888684,1370.2949615847322,1429.1860797856823,2.356320177532389,0.3403400999403904,281.1660793440007,1.3888888888888888,2.111111111111111,254.202,0.7255193961858338,0.2171240114295389,-0.7255193961858338,0,110,198.21600000000004,ethyl sulfate,[O-]S(=O)(OCC)=O,-775.7228699,-0.244251223,0.164500983,2.41072609,0.085358376,-0.460251525,2.455751983,1-butyl-1-methylpiperidinium,C[N+]1(CCCC)CCCCC1,-445.842325,-0.593124,-0.055555,-0.740863,0.526591,-0.131702,0.918434,16.132972799999997,6.643633265599999,6.643633265599999,1.511096,-4.4744267376,1.511096,5.132537265599999,piperidinium,sulfate,,,,,unknown,,,,,,,,,unknown,1.0,0.0,0.0,C[N+]1(CCCC)CCCCC1.[O-]S(=O)(OCC)=O,0.0,,,,,,,1.0,,
methanesulfonate,[O-]S(=O)(C)=O,0.0099655094911756,0.5406323168290204,0.0089597296400267,0.8412589957914779,0.9399014846248128,104.90288461672844,117.2033553114337,124.69748928869774,1.350326859955676,0.6073599821567296,94.98083853591,2.0,2.2,92.075,0.7481561348223558,0.0915833347567586,-0.7481561348223558,0,32,70.32000000000002,1-butyl-1-methylpiperidinium,C[N+]1(CCCC)CCCCC1,0.3688326195391857,0.9539327271584768,0.0042992653244315,0.3000205860536757,0.9918741757555573,230.7078305028068,762.7247924226922,768.9733345882192,2.374478352368535,0.4892429118521065,156.17467612408998,1.4545454545454546,2.272727272727273,134.11699999999996,0.3260439466233752,0.0924080710966681,-0.3260439466233752,0,66,179.45600000000005,1-butyl-1-methylpiperidinium methanesulfonate,C[N+]1(CCCC)CCCCC1.[O-]S(=O)(C)=O,0.3364959270004818,0.9479209527624344,0.0028531992599227,0.3185056786212116,0.95026063918599,333.0509202542416,993.6563195115376,1045.6671344008537,2.172205393706652,0.4300236102714999,251.15551466,1.4375,2.0625,226.19199999999995,0.7481561348223558,0.0924080710966681,-0.7481561348223558,0,98,190.96000000000004,methanesulfonate,[O-]S(=O)(C)=O,-661.7955126,-0.229049986,0.182782751,-1.677354074,-0.028686162,0.042761527,1.678144253,1-butyl-1-methylpiperidinium,C[N+]1(CCCC)CCCCC1,-445.842325,-0.593124,-0.055555,-0.740863,0.526591,-0.131702,0.918434,16.132972799999997,6.2301596192,6.2301596192,1.511096,-4.9716908272,1.511096,4.7190636192,piperidinium,sulfonate,,,,,unknown,,,,,,,,,unknown,1.0,1.0,1.0,,1.0,,,,,,,4.0,,
nitrate,[O-][N+]([O-])=O,0.2567214737800282,0.8916800640423842,0.0142456119850065,0.4526661721283904,0.5473338278763428,38.42122251065176,46.45638681054166,84.87760932079168,1.1700023001043254,7.856373176154597e-12,61.98836643991,1.5,1.5,62.004000000000005,0.3562938630350668,0.0688815891052007,-0.3562938630350668,0,24,43.97600000000001,1-butyl-1-methylpiperidinium,C[N+]1(CCCC)CCCCC1,0.3688326195391857,0.9539327271584768,0.0042992653244315,0.3000205860536757,0.9918741757555573,230.7078305028068,762.7247924226922,768.9733345882192,2.374478352368535,0.4892429118521065,156.17467612408998,1.4545454545454546,2.272727272727273,134.11699999999996,0.3260439466233752,0.0924080710966681,-0.3260439466233752,0,66,179.45600000000005,1-butyl-1-methylpiperidinium nitrate,C[N+]1(CCCC)CCCCC1.[O-][N+]([O-])=O,0.3903013526249589,0.9609330990150892,0.0035020416380731,0.2767807421358221,0.9145602079149884,261.1505808418052,862.9138272727029,943.5287253968452,2.1761742097746595,0.395636759203465,218.163042564,1.4666666666666666,2.066666666666667,196.12099999999995,0.3562938630350668,0.0924080710966681,-0.3562938630350668,0,90,181.24800000000005,nitrate,[O-][N+]([O-])=O,-279.0107095,-0.222064037,0.277674413,0.000311666,-1.2e-05,1.85e-06,0.000311903,1-butyl-1-methylpiperidinium,C[N+]1(CCCC)CCCCC1,-445.842325,-0.593124,-0.055555,-0.740863,0.526591,-0.131702,0.918434,16.132972799999997,6.040141806399999,6.040141806399999,1.511096,-7.5527440336,1.511096,4.529045806399999,piperidinium,nitrate,,,,,unknown,,,,,,,,,unknown,0.0,1.0,1.0,,1.0,,,,,,,3.0,,
tetrafluoroborate,F[B-](F)(F)F,0.0004916983395562,0.271872897333358,0.0093991864711089,0.9623331687599496,0.9825679255324472,104.53754998399567,106.73563684849056,108.62927037909488,1.3574502474146704,0.9625970676593132,87.00346685991,0.8,0.8,86.80400000000002,0.6732131186250532,0.6732131186250532,-0.4183032796562632,0,32,52.704000000000015,1-butyl-1-methylpiperidinium,C[N+]1(CCCC)CCCCC1,0.3688326195391857,0.9539327271584768,0.0042992653244315,0.3000205860536757,0.9918741757555573,230.7078305028068,762.7247924226922,768.9733345882192,2.374478352368535,0.4892429118521065,156.17467612408998,1.4545454545454546,2.272727272727273,134.11699999999996,0.3260439466233752,0.0924080710966681,-0.3260439466233752,0,66,179.45600000000005,1-butyl-1-methylpiperidinium tetrafluoroborate,C[N+]1(CCCC)CCCCC1.F[B-](F)(F)F,0.4291131198607062,0.967043462709043,0.0033042208488923,0.2546113533048041,0.953257732782214,288.49697897819414,1080.1245605338145,1133.0876460674724,2.268368532937783,0.31981653255463,243.178142984,1.25,1.8125,220.921,0.6732131186250532,0.6732131186250532,-0.4183032796562632,0,98,183.78400000000005,tetrafluoroborate,F[B-](F)(F)F,-422.862214,-0.380507,0.219733,0.0,0.0,0.0,0.0,1-butyl-1-methylpiperidinium,C[N+]1(CCCC)CCCCC1,-445.842325,-0.593124,-0.055555,-0.740863,0.526591,-0.131702,0.918434,16.132972799999997,10.3497904,10.3497904,1.511096,-5.9767376,1.511096,8.8386944,piperidinium,tetrafluoroborate,1-Butyl-1-methylpiperidinium tetrafluoroborate,,,,149,,C10H22BF4N,25.0,25.0,25.0,,,,solid,,,,,,,,,,,,,,
thiocyanate,[S-]C#N,0.9999999773456816,1.0,0.0,7.551439545911171e-09,0.9999999924485607,6.907725837682605e-07,91.47561525881004,91.4756159495826,1.2549333890527818,0.0,57.97569357991,2.0,2.0,58.085,0.6957977631261403,-0.079746475234956,-0.6957977631261403,0,16,45.85600000000001,1-butyl-1-methylpiperidinium,C[N+]1(CCCC)CCCCC1,0.3688326195391857,0.9539327271584768,0.0042992653244315,0.3000205860536757,0.9918741757555573,230.7078305028068,762.7247924226922,768.9733345882192,2.374478352368535,0.4892429118521065,156.17467612408998,1.4545454545454546,2.272727272727273,134.11699999999996,0.3260439466233752,0.0924080710966681,-0.3260439466233752,0,66,179.45600000000005,1-butyl-1-methylpiperidinium thiocyanate,C[N+]1(CCCC)CCCCC1.[S-]C#N,0.4371006646555879,0.9672462754951244,0.0041180055380325,0.2538397969996233,0.993297046344939,241.20828327479896,943.86884232793,950.2382452470875,2.2316490989848004,0.458613511601687,214.150369704,1.5714285714285714,2.2142857142857144,192.202,0.6957977631261403,0.0924080710966681,-0.6957977631261403,0,82,180.77600000000004,thiocyanate,[S-]C#N,-489.9281831,-0.14138979,0.199467866,0.0,-4.66e-127,0.464035542,0.464035542,1-butyl-1-methylpiperidinium,C[N+]1(CCCC)CCCCC1,-445.842325,-0.593124,-0.055555,-0.740863,0.526591,-0.131702,0.918434,16.132972799999997,3.8458022879999993,3.8458022879999993,1.511096,-5.4255259551999995,1.511096,2.3347062879999996,piperidinium,thiocyanate,,,,,unknown,,,,,,,,,unknown,0.0,0.0,0.0,,1.0,,,,,,,1.0,,
