pair,SVM_predict,RF_predict,XGB_predict
1-methyl-3-tetradecylimidazolium bis(pentafluoroethylsulfonyl)imide,1,1,1
1-methylimidazolium bis(2-ethylhexyl)phosphate,0,1,1
1-methyl-1-propylpiperidinium tosylate,0,0,1
"1-methyl-3-nonylimidazolium 1,1,2,2-tetrafluoroethanesulfonate",0,0,0
1-butyl-4-methylpyridinium ethyl sulfate,0,0,0
n-ethyl-n-methyl-n-propylammonium bromide,1,1,1
1-methyl-3-pentylimidazolium acetate,0,0,0
"1,3-didecyl-2-methylimidazolium diethyl phosphate",1,1,0
1-ethyl-2-methylpyridinium tetrafluoroborate,1,1,0
methylammonium thiocyanate,1,1,0
"1-dodecyl-3-methylimidazolium bis(2,4,4-trimethylpentyl)phosphinate",1,0,0
trihexyltetradecylphosphonium perfluorobutanesulfonate,0,0,0
"trimethylsulfonium bis(2,4,4-trimethylpentyl)phosphinate",0,1,0
"1-hexadecyl-3-methylimidazolium 1,1,2,2-tetrafluoroethanesulfonate",1,1,1
1-butyl-3-ethylimidazolium nitrate,0,0,0
2-hydroxyethylammonium dihydrogen phosphate,0,0,1
1-methyl-3-tetradecylimidazolium bis(fluorosulfonyl)imide,1,1,1
1-methyl-3-tetradecylimidazolium trifluoroacetate,1,1,1
trimethylsulfonium bromide,1,1,1
1-propylpyridinium tricyanomethanide,0,0,0
1-ethyl-3-propylimidazolium bis(pentafluoroethylsulfonyl)imide,0,0,0
1-benzyl-3-methylimidazolium methanesulfonate,0,1,1
1-ethylpyridinium acetate,0,0,0
diethylmethylsulfonium bis(fluorosulfonyl)imide,0,0,0
1-methyl-1-propylpiperidinium decanoate,0,0,0
tributylmethylphosphonium bis(fluorosulfonyl)imide,0,0,0
1-methyl-1-propylpiperidinium hydrogensulfate,1,1,1
diethylmethylammonium bis(fluorosulfonyl)imide,0,0,0
1-butyl-1-methylpiperidinium decanoate,0,0,0
"1-propyl-3-methylpyridinium 1,1,2,2-tetrafluoroethanesulfonate",0,0,0
triethylsulfonium dimethyl phosphate,0,0,0
1-propyl-3-methylpyridinium tetrafluoroborate,0,1,0
1-methyl-3-octylimidazolium bis(fluorosulfonyl)imide,0,0,0
1-(2-methoxyethyl)-3-methylimidazolium tosylate,0,0,1
"1-butyl-2,3-dimethylimidazolium perfluorobutanesulfonate",0,0,0
1-ethyl-1-methylpyrrolidinium tosylate,0,1,1
1-(2-hydroxyethyl)-3-methylimidazolium dihydrogen phosphate,0,0,0
1-hexadecyl-3-methylimidazolium bis(2-ethylhexyl)phosphate,1,1,1
1-dodecyl-3-methylimidazolium trifluoroacetate,1,1,1
