,VIF,Tolerance
NumValenceElectrons_anion,inf,0.0
ExactMolWt_cation,inf,0.0
NumRadicalElectrons_pair,inf,0.0
HeavyAtomMolWt_pair,inf,0.0
HeavyAtomMolWt_anion,inf,0.0
NumValenceElectrons_pair,inf,0.0
ExactMolWt_anion,inf,0.0
NumRadicalElectrons_cation,inf,0.0
NumRadicalElectrons_anion,inf,0.0
HeavyAtomMolWt_cation,inf,0.0
ExactMolWt_pair,inf,0.0
NumValenceElectrons_cation,inf,0.0
PMI3_anion,470072.08506812394,2.1273333000726424e-06
PMI2_anion,444537.45994140394,2.249529207576373e-06
volume_anion,62460.925246763916,1.601000939466246e-05
volume_cation,18340.809761938595,5.452321969312557e-05
energy_anion,12098.096250844106,8.26576330081874e-05
PMI3_cation,3893.2436575983197,0.0002568552312538497
PMI2_cation,3094.4005181506886,0.0003231643719467936
MinPartialCharge_anion,2755.6847856635454,0.0003628862071607397
MaxAbsPartialCharge_anion,2633.623025886905,0.00037970506415330174
PMI1_anion,2415.4099123989427,0.00041400840282501683
LUMO_anion,2194.650152068714,0.0004556534894900599
RadiusOfGyration_anion,2139.788078809937,0.0004673359992528603
PMI3_pair,1383.5816581120725,0.0007227618219256549
PMI2_pair,1291.8187016809472,0.0007741024330262247
NPR1_cation,1178.259656499121,0.0008487093608646745
MaxPartialCharge_anion,966.5858831559177,0.0010345692166897624
energy_cation,618.134946174255,0.0016177697219501574
MinPartialCharge_pair,607.7956904209148,0.0016452897178449444
NPR1_pair,579.7388990833344,0.0017249144426588758
FpDensityMorgan1_cation,454.965614795485,0.002197968302394715
FpDensityMorgan2_cation,408.4331549885376,0.002448381057674087
FpDensityMorgan1_anion,377.63804653473136,0.0026480382715040607
Eccentricity_anion,356.6340446415118,0.002803994781275576
FpDensityMorgan1_pair,348.2956179902891,0.0028711242644111623
Asphericity_cation,323.4490785585115,0.0030916767624029617
FpDensityMorgan2_pair,313.88320380631296,0.0031858984102158816
HOMO_anion,313.5082212789902,0.0031897090159881403
FpDensityMorgan2_anion,303.83117913711845,0.003291301448521522
NPR2_anion,281.8798952524712,0.0035476102298971357
Asphericity_anion,274.0437712701098,0.003649052103484429
Asphericity_pair,221.25438980036986,0.00451968433666905
Eccentricity_cation,214.41575176570882,0.004663836456813564
RadiusOfGyration_cation,210.56001168813953,0.004749239857951282
SpherocityIndex_anion,209.7657650403607,0.0047672221432681905
NPR1_anion,204.60645496500572,0.004887431338229442
PMI1_cation,188.47547410903718,0.00530573012073432
volume_pair,188.14697182578982,0.005314993859831696
MaxAbsPartialCharge_pair,171.97139572716165,0.005814920532403733
Eccentricity_pair,115.42888986603528,0.008663342436720844
RadiusOfGyration_pair,86.73824616779163,0.011528939587567177
MaxAbsPartialCharge_cation,75.84854293723144,0.013184168888089931
MinPartialCharge_cation,69.24424512939706,0.014441633353519778
PMI1_pair,67.71151285449477,0.014768537252282332
NPR2_cation,52.71974618926721,0.018968224854686078
SpherocityIndex_cation,47.84356255552943,0.02090145354120221
HOMO_cation,24.325547058201895,0.04110904464378029
dipole_z_anion,17.706962108986897,0.05647496130871965
dipole_y_anion,17.29490080453641,0.05782051087206597
MaxPartialCharge_pair,15.084802741948337,0.06629188442876788
dipole_x_anion,14.008704720171528,0.07138418718756145
InertialShapeFactor_anion,13.220474403036198,0.07564025083474624
InertialShapeFactor_cation,11.047927006779737,0.09051471822599244
SpherocityIndex_pair,11.011547421944337,0.09081375774735823
MaxPartialCharge_cation,10.299393758573489,0.09709309338402305
NPR2_pair,7.908245452205756,0.12645029874750302
LUMO_cation,6.008158348455554,0.16644035359971132
InertialShapeFactor_pair,2.5864755714892165,0.38662650095095596
dipole_y_cation,2.0013359988479698,0.4996662232506839
dipole_z_cation,1.8471159727238577,0.541384523098106
dipole_x_cation,1.824129045840057,0.5482068290511075
