,RF,XGB
Asphericity_anion,0.03513522213860126,0.07957789
Asphericity_cation,0.010972253115011038,0.016011562
Asphericity_pair,0.019370460329101828,0.005726675
Eccentricity_anion,0.03878192019066812,0.0014602401
Eccentricity_cation,0.013937701995526899,0.0064996197
Eccentricity_pair,0.024647762373518994,0.006147368
ExactMolWt_anion,0.003651102755895945,0.0015660956
ExactMolWt_cation,0.0120179227552088,0.002462774
ExactMolWt_pair,0.010250932981861438,0.007595494
FpDensityMorgan1_anion,0.0034349446658023925,0.02243468
FpDensityMorgan1_cation,0.011529770850531963,0.05636172
FpDensityMorgan1_pair,0.011875073585077124,0.0056732474
FpDensityMorgan2_anion,0.008424938367691986,0.0031469932
FpDensityMorgan2_cation,0.013167558070492537,0.008785242
FpDensityMorgan2_pair,0.014919660057521386,0.030514622
HOMO_anion,0.00617265968311352,0.006248907
HOMO_cation,0.02678227383365335,0.010577963
HeavyAtomMolWt_anion,0.00442000565731394,0.0
HeavyAtomMolWt_cation,0.012071338489704394,0.0
HeavyAtomMolWt_pair,0.01600236397681367,0.0015995032
InertialShapeFactor_anion,0.009983090796964912,0.0140846
InertialShapeFactor_cation,0.007699166555346853,0.010056489
InertialShapeFactor_pair,0.012072158726709172,0.02002488
LUMO_anion,0.031330652102679574,0.006310608
LUMO_cation,0.01884921290494162,0.010111503
MaxAbsPartialCharge_anion,0.01270262228827024,0.005770979
MaxAbsPartialCharge_cation,0.014265102274767747,0.03791489
MaxAbsPartialCharge_pair,0.018133356716063514,0.006811578
MaxPartialCharge_anion,0.02785746620728571,0.031606056
MaxPartialCharge_cation,0.015735748500572137,0.024011692
MaxPartialCharge_pair,0.009060015480032813,0.002470636
MinPartialCharge_anion,0.011847513328634204,0.0
MinPartialCharge_cation,0.010276284814412244,0.012186677
MinPartialCharge_pair,0.013772465869106111,0.14427516
NPR1_anion,0.006321659093879854,0.0017762223
NPR1_cation,0.013075671015441057,0.0
NPR1_pair,0.020498945960327607,0.0
NPR2_anion,0.008818097469621615,0.0072440235
NPR2_cation,0.010754472328751487,0.014535699
NPR2_pair,0.010931630232923073,0.0072529777
NumRadicalElectrons_anion,0.0018883609676133967,0.0
NumRadicalElectrons_cation,0.0,0.0
NumRadicalElectrons_pair,0.004758129354053775,0.0
NumValenceElectrons_anion,0.00751003157470375,0.0
NumValenceElectrons_cation,0.009131255286747105,0.0
NumValenceElectrons_pair,0.01867211808470262,0.038658425
PMI1_anion,0.007610198090202851,0.027348578
PMI1_cation,0.005659853768569436,0.0
PMI1_pair,0.009093448419473077,0.006656625
PMI2_anion,0.01661126552075995,0.00785094
PMI2_cation,0.018398209759595857,0.0058846124
PMI2_pair,0.019730902832290374,0.0074921087
PMI3_anion,0.011097870334592535,0.0009117368
PMI3_cation,0.01747555351776715,0.044530965
PMI3_pair,0.01929627185190422,0.0098242685
RadiusOfGyration_anion,0.022369838778515217,0.0030149966
RadiusOfGyration_cation,0.019663957045167987,0.060574565
RadiusOfGyration_pair,0.021811319690711456,0.0070550456
SpherocityIndex_anion,0.009976541582978862,0.0055352193
SpherocityIndex_cation,0.018376279980609582,0.00954043
SpherocityIndex_pair,0.02479241749635027,0.008582653
dipole_x_anion,0.010244810686121602,0.020888383
dipole_x_cation,0.02305614338808741,0.017528815
dipole_y_anion,0.005657145453335355,0.0072824694
dipole_y_cation,0.009018972194143054,0.0067672823
dipole_z_anion,0.008015036760561256,0.0097420765
dipole_z_cation,0.01248939018603118,0.00738963
energy_anion,0.008016636965773113,0.0051826164
energy_cation,0.011308460159808907,0.008180785
volume_anion,0.017236392488286206,0.0
volume_cation,0.012175248359246072,0.033186425
volume_pair,0.017306740881454237,0.011555069
